ref	verse
PSA 18:33	ព្រះ‌អង្គ​ធ្វើ​ឲ្យ​ជើង​ខ្ញុំ​បាន​ដូច​ជា​ជើង​ក្តាន់ ហើយ​ដាក់​ខ្ញុំ​ឲ្យ​ឈរ​​នៅលើ​ទី​ដ៏ខ្ពស់។
PSA 18:34	ព្រះ‌អង្គ​បង្ហាត់​ដៃ​ខ្ញុំ​ឲ្យ​ស្ទាត់​ជំនាញ​សម្រាប់ធ្វើចម្បាំង ហើយ​ឲ្យ​ដៃ​ខ្ញុំ​អាច​យឹត​ធ្នូ​លង្ហិន​បាន។
PSA 18:35	ព្រះ‌អង្គ​បាន​ប្រទាន​ខែលនៃ​ការ​សង្គ្រោះ របស់​ព្រះ‌អង្គ​មក​ទូល‌បង្គំ។ ព្រះ‌ហស្ត​ស្តាំ​របស់​ព្រះ‌អង្គ​បាន​ជួយទូល‌បង្គំ ហើយ​ព្រះ‌ហឫ‌ទ័យ​ស្រទន់​របស់​ព្រះ‌អង្គ បានធ្វើ​ឲ្យ​ទូល‌បង្គំ​អស្ចារ្យ។
PSA 18:36	ព្រះ‌អង្គ​បាន​ប្រទាន​ឲ្យ​ទូល‌បង្គំ មានកន្លែងធំ​ទូលាយ​សម្រាប់​ជំហាន​ទូល‌បង្គំ ហើយ​ជើង​ទូល‌បង្គំ​មិន​បាន​រអិល​ភ្លាត់​ឡើយ។
PSA 18:37	ទូល‌បង្គំ​ដេញ​តាម​ពួក​ខ្មាំង​សត្រូវ ហើយ​ក៏​ទាន់​គេ ក៏​មិន​ងាកបែរក្រោយឡើយ រហូត​ទាល់​តែ​គេ​វិនាស​។
PSA 18:38	ទូល‌បង្គំ​វាយពួកគេមិន​ឲ្យ​គេ​ក្រោក​ឡើង​វិញ​បាន​ឡើយ ពួកគេ​ដួល​នៅ​ក្រោម​ជើង​ទូល‌បង្គំ។
PSA 18:39	ដ្បិត​ព្រះ‌អង្គ​បាន​ក្រវាត់​ទូល‌បង្គំ​ដោយ​កម្លាំងសម្រាប់​ចម្បាំង ព្រះ‌អង្គ​បាន​បង្ក្រាប​អស់​អ្នក ដែល​លើក​គ្នា​ទាស់​នឹង​ទូល‌បង្គំ ឲ្យ​រាប​នៅ​ក្រោម​ទូល‌បង្គំ។
PSA 18:4	ចំណង​នៃ​សេចក្ដី​ស្លាប់​បាន​រួប​រឹត​ខ្ញុំ ហើយ​ជំនន់​នៃ​សេចក្ដី​វិនាស​បាន​បំភ័យ​ខ្ញុំ។
PSA 18:40	ព្រះអង្គ​បាន​ធ្វើ​ឲ្យ​ពួក​គេ​បាក់​ទ័ព រត់​នៅ​មុខ​ទូលបង្គំ ហើយ​ទូល‌បង្គំ​បាន​ប្រហារ​អស់​អ្នក ដែល​ស្អប់​ទូល‌បង្គំ។
PSA 18:41	ពួកគេស្រែករកជំនួយ ប៉ុន្តែគ្មាននរណាអាចជួយគេបាន ពួកគេស្រែកទៅកាន់ព្រះអម្ចាស់ តែព្រះអង្គមិនបានជួយពួកគេទេ។
PSA 18:42	ទូលបង្គំ​បាន​កម្ទេច​ពួក​គេ​ឲ្យ​ហ្មត់ ដូច​ធូលី​ដី​ដែល​ត្រូវ​ខ្យល់​ផាត់ ទូលបង្គំ​បាន​បោស​ពួក​គេ ដូច​ជាដីភក់​​នៅ​តាម​ផ្លូវ។
PSA 18:43	ព្រះអង្គបានសង្រោះទូលបង្គំពីការបះបោរនៃមនុស្ស។ ព្រះអង្គបានធ្វើឲ្យទូលបង្គំជាប្រមុខនៃប្រជាជាតិផ្សេងៗ។ ប្រជាជនដែលទូលបង្គំមិនស្គាល់បានមកបម្រើដល់ទូលបង្គំ។
PSA 18:44	នៅពេលពួកគេឮសម្លេងទូលបង្គំ នោះគេដ៏ស្តាប់តាម ទោះជាជនបរទេសក៏ត្រូវនៅក្រោមទូលបង្គំដែរ។
PSA 18:45	ជន​បរទេស​បាក់​ទឹក​ចិត្ត ហើយ​ចេញ​ពី​ទី​ជម្រក​របស់​គេ​មកទាំង​ ​ភ័យ​ញាប់‌ញ័រ។
PSA 18:46	ព្រះ‌អម្ចាស់​មាន​ព្រះ‌ជន្ម​រស់​នៅ សូម​សរសើរ​តម្កើង​ព្រះ‌អង្គ ដែល​ជា​ថ្ម​ដា​នៃ​ទូល‌បង្គំ សូម​លើក​តម្កើង​ព្រះ​អម្ចាស់ដ៏​ជួយ​សង្គ្រោះ​របស់​ទូល‌បង្គំ
PSA 18:47	​ព្រះ​អង្គដែល​សង‌សឹក​ជំនួស​ទូល‌បង្គំ ហើយ​បង្ក្រាប​ប្រជាជាតិ​នានា ឲ្យ​ចុះ​ចូល​នឹង​ទូល‌បង្គំ។
PSA 18:48	ទូលបង្គំរួច​ផុត​ពី​កណ្ដាប់​ដៃ​របស់​ខ្មាំង​សត្រូវ! ព្រះអង្គ​បាន​លើក​ទូលបង្គំ​ឡើង​ខ្ពស់ ជាង​បច្ចា‌មិត្ត​របស់​ទូលបង្គំ! ព្រះអង្គ​រំដោះ​ទូលបង្គំ​ឲ្យ​រួច​ផុត​ពី មនុស្ស​ឃោរ‌ឃៅ។
PSA 18:49	ហេតុ​នេះ​ហើយ​បាន​ជា​ទូលបង្គំ​អរព្រះគុណដល់​ព្រះអង្គ​ក្នុង​ចំណោម​ប្រជា‌ជាតិ​នានា ឱ​ព្រះ‌អម្ចាស់​អើយ! ទូលបង្គំ​នឹង​ច្រៀង​លើក​តម្កើង​ព្រះ‌នាម របស់​ព្រះអង្គ។
PSA 18:5	ចំណង​នៃ​ស្ថាន​ឃុំ​ព្រលឹង​មនុស្ស​ស្លាប់ ក៏​រឹត​ជុំ‌វិញ​ខ្ញុំអន្ទាក់​នៃ​សេចក្ដី​ស្លាប់​បាន​ទាក់​ខ្ញុំ។
PSA 18:50	ព្រះ‌អង្គ​ប្រទាន​ជ័យ​ជម្នះ​យ៉ាង​ធំ​ដល់​ស្តេច ដែល​ព្រះ‌អង្គ​បាន​តែង​តាំង ក៏​សម្ដែង​សម្ព័ន្ឋមេត្រី​សប្បុរស ដល់​អ្នក​ដែល​ព្រះ‌អង្គ​បាន​ចាក់ប្រេង​តាំង គឺ​ដល់​ដាវីឌ និង​ពូជ‌ពង្ស​របស់ទ្រង់។
PSA 18:6	ក្នុង​គ្រា​ដែល​ខ្ញុំ​មាន​ទុក្ខ​វេទនា ទូល‌បង្គំ​បាន​អំពាវ‌នាវ​ដល់​ព្រះ‌អម្ចាស់ ខ្ញុំបាន​ស្រែក​រក​ជំនួយ​ដល់​ព្រះជាម្ចាស់​នៃ​ខ្ញុំ។ ពី​ក្នុង​ព្រះ‌វិហារ​របស់​ព្រះ‌អង្គ ព្រះ‌អង្គ​ឮ​សំឡេង​ខ្ញុំ ហើយ​សម្រែក​ដែល​ខ្ញុំ​ស្រែក​រក​ព្រះ‌អង្គបាន​ទៅ​ដល់​ព្រះ‌កាណ៌​របស់​ព្រះ‌អង្គ។
PSA 18:7	ពេល​នោះ ផែនដី​បាន​កក្រើក ហើយ​រញ្ជួយ គ្រឹះ​ភ្នំ​ទាំង​ឡាយ​ក៏​ញាប់​ញ័រ ហើយ​រំពើក​ឡើង ព្រោះ​ព្រះ‌អង្គ​ក្រោធ។
PSA 18:8	មាន​ផ្សែង​ហុយ​ចេញ​ពី​ព្រះ‌នាសា​ព្រះ‌អង្គ ហើយ​មាន​ភ្លើង​បញ្ឆេះ ចេញ​ពី​ព្រះ‌ឱស្ឋ​ព្រះ‌អង្គ​មក ក៏​មាន​រងើក​ភ្លើង​ឆេះ ជា​អណ្ដាតមក​ពីព្រះ‌អង្គ​ដែរ។
PSA 18:9	ព្រះអង្គ​បាន​ផ្អៀង​ផ្ទៃ​មេឃ ទ្រង់​យាង​ចុះ​មក ដោយ​មាន​ពពក​យ៉ាង​ក្រាស់ នៅ​ពី​ក្រោម​ព្រះ‌បាទា​ផង។
PSA 19:1	ផ្ទៃ​មេឃ​ថ្លែង​អំពី​សិរី‌រុងរឿងនៃ​ព្រះ‌ជាម្ចាស់ អាកាស‌វេហាស៍​ស្តែង​អំពី​ស្នា​ព្រះ‌ហស្ដ របស់​ព្រះអង្គ។
PSA 19:10	សេចក្ដី​ទាំង​នោះមានតម្លៃលើស​ជាង​មាស លើស​ជាង​មាស​សុទ្ធ​ជា​ច្រើន​ទៅ​ទៀត ហើយវាក៏​ផ្អែម​ជាង​ទឹក​ឃ្មុំ ហើយ​ជាង​ដំណក់ ស្រក់​ពី​សំណុំ​ផង។
PSA 19:11	តាមរយៈការទាំង​នេះ​បាន​បំភ្លឺ​ទូលបង្គំ ជា​អ្នក​បម្រើ​របស់​ព្រះអង្គ ហើយ​ដោយ​ការ​ប្រព្រឹត្ត​តាម ទូលបង្គំ​បាន​ទទួល​បានរង្វាន់។
PSA 19:12	តើ​នរណា​ម្នាក់​អាច​មើល​ឃើញ​កំហុសដែល​ខ្លួន​ប្រព្រឹត្ត​? សូមសម្អាតទូលបង្គំពីកំហុសដែលបានលាក់បាំង ផង។
PSA 19:13	សូមរក្សាទូលបង្គំ​ឲ្យ​រួច​ពី​ចិត្ត​អួត​បំប៉ោង សូម​កុំ​ឲ្យ​ចិត្ត​អួត​បំប៉ោង​នេះ បានគ្រប់គ្រងលើ​ទូលបង្គំ​បាន​ឡើយ។ ធ្វើ​ដូច្នេះ ទូលបង្គំ​នឹង​បាន​ឥត​សៅ‌ហ្មង ឥត​ជាប់​ជំពាក់​នឹង​អំពើ​បាប​ដ៏​ធ្ងន់​នេះ​ទេ។
PSA 19:14	សូម​ឲ្យ​ពាក្យ​សម្ដី ដែល​ចេញ​មក​ពី​មាត់​ទូល‌បង្គំ និង​ការ​រំពឹង​គិត​ក្នុង​ចិត្ត​របស់​ទូល‌បង្គំ បាន​ជា​ទី​គាប់ព្រះ‌ ហឫ‌ទ័យ នៅ​ចំពោះ​ព្រះ‌នេត្រ​ព្រះ‌អង្គ ដ្បិតទ្រង់ជាថ្មដា​ និងជាព្រះដ៏រស់​ ។
PSA 19:2	ពីថ្ងៃ​មួយទៅ​ថ្ងៃ​មួយ​ទៀត យប់​មួយ​ដល់យប់​មួយ​ទៀត​ឲ្យ​បាន​ដឹង។
PSA 19:3	តែ​មិន​មែន​ដោយ​ប្រើ​ភាសា ឬ​ពាក្យ​សម្ដី​ទេ ហើយ​ក៏​មិន​ឮ​សូរ‌ស័ព្ទ​អ្វី​ដែរ។
PSA 19:4	ប៉ុន្តែ ពាក្យ​របស់​វា បានឮលើ​ផែនដី​ទាំង​មូល ហើយ​សំឡេង​របស់​វា​លាន់​ឮ​រហូត​ដល់​ជើង​មេឃ។ ​ព្រះ‌ជាម្ចាស់​បាន​ដំឡើង​ពន្លា សម្រាប់​ព្រះ‌អាទិត្យក្នុងចំណោមគេ។
PSA 19:5	​ព្រះ‌អាទិត្យ​ក៏​រះ​ឡើង ដូច​ជា​កូន​កំលោះ​ចេញ​មក​សំពះ​ផ្ទឹម និង​ប្រៀប​បី​ដូច​ជា​វីរ‌បុរស​ដ៏​ខ្លាំង​ពូកែ​មួយ​រូប ចេញ​មក​រត់​ប្រណាំង​ដោយ​អរ‌សប្បាយ។
PSA 19:6	ព្រះ‌អាទិត្យ​បានលិច​ពី​ជើង​មេឃ​ម្ខាង ឆ្ពោះ​ទៅ​ជើង​មេឃ​ម្ខាង​ទៀត គ្មាន​នរណា​អាច​បំបាំង​កម្ដៅរបស់​ព្រះ‌ អាទិត្យ​បាន​ឡើយ។
PSA 19:7	ក្រឹត្យ‌វិន័យ​របស់​ព្រះ‌អម្ចាស់ល្អ​គ្រប់​លក្ខណ៍ បាន​កែ​ព្រលឹង​ឡើង​វិញ ទីបន្ទាល់​របស់​ព្រះ‌អម្ចាស់នោះ​ពិត​ប្រាកដ ក៏​ធ្វើ​ឲ្យ​មនុស្ស​ខ្លៅ​ល្ងង់​មាន​ប្រាជ្ញា។
PSA 19:8	ព្រះ‌ឱវាទ​របស់​ព្រះ‌អម្ចាស់សុទ្ធ​តែ​ត្រឹម​ត្រូវ ក៏ធ្វើ​ឲ្យ​ចិត្ត​រីក‌រាយ​សប្បាយ បទ‌បញ្ជា​របស់​ព្រះ‌ អម្ចាស់ស្អាត​បរិសុទ្ធ ក៏នាំ​បំភ្លឺមកដល់​ភ្នែក។
PSA 19:9	ការ​កោត​ខ្លាច​ដល់​ព្រះ‌អម្ចាស់ នោះ​ស្អាត​បរិសុទ្ធ ក៏​ស្ថិត​ស្ថេរ​នៅ​ជា​ដរាប វិន័យ​របស់​ព្រះ‌អម្ចាស់​សុទ្ធ​តែ​ពិត​ត្រង់ ហើយ​សុចរិត​គ្រប់​ជំពូក!
PSA 1:1	មានពរហើយអ្នកដែលមិនដើរតាមដំបូន្មានរបស់មនុស្សពាល ឬឈរតាមផ្លូវជាមួយមនុស្សមានបាប ឬអង្គុយជាមួយមនុស្សដែលចំអកឡកឡាយ។
PSA 1:2	ប៉ុន្តែរីករាយជាមួយក្រឹត្យវិន័យនៃព្រះអម្ចាស់ ហើយសញ្ជឹងគិតអំពីក្រឹត្យវិន័យ ទាំងយប់ទាំងថ្ងៃ។
PSA 1:3	អ្នក​នោះ​ប្រៀប​បាន​នឹង​ដើម​ឈើ ដែលដុះ​នៅ​ក្បែរ​ផ្លូវ​ទឹក ដែល​ផ្ដល់​ផល​ផ្លែ​តាម​រដូវ​កាល ដែល​មាន​ស្លឹក​មិន​ចេះ​ស្លោក​ស្រពោន ការអ្វី​ដែល​គាត់​ធ្វើ​នឹង​ចម្រុង‌ចម្រើន​ឡើង។
PSA 1:4	ការរបស់មនុស្សពាលវិញ គឺមិនដូច្នោះឡើយ តែពួក​គេ​ប្រៀប​បាន​នឹង​អង្កាម ដែល​ត្រូវ​ខ្យល់​ផាត់​បាត់​ទៅ។
PSA 1:5	មនុស្សពាលនឹងមិនអាចឈរក្នុងថ្ងៃជំនំុជម្រះបានឡើយ ហើយ​មនុស្ស​បាប​ក៏​ពុំ​អាច​ស្ថិត​នៅ​ក្នុង​ចំណោម មនុស្ស​សុចរិត​បាន​ដែរ។
PSA 1:6	ដ្បិតព្រះជាម្ចាស់ស្គាល់ផ្លូវរបស់មនុស្សសុចរិត ប៉ុន្តែរបស់មនុស្សពាលនឹងវិនាសអន្តរាយ។
PSA 20:1	សូម​ព្រះ‌អម្ចាស់ជួយដល់ស្តេច នៅ​ថ្ងៃ​មាន​ចលាចល សូម​ព្រះ‌នាម​នៃ​ព្រះ​ជាម្ចាស់នៃ​លោក​យ៉ាកុប ការពារ​ព្រះ​ករុណា
PSA 20:2	ហើយប្រទានជំនួយពីទីដែលបរិសុទ្ធ ជាជំនួយដល់ព្រះករុណាដែរពី​ក្រុង​ស៊ីយ៉ូន​មក។
PSA 20:3	សូម​ឲ្យ​ព្រះអង្គ​នឹក​ឃើញ​តង្វាយ ទាំង​ប៉ុន្មាន​របស់​ព្រះ‌រាជា ហើយ​សូម​ឲ្យ​ព្រះអង្គ​គាប់​ព្រះ‌ហឫទ័យ នឹង​យញ្ញ‌បូជា​ដែល​ស្ដេច​បាន​ថ្វាយ។ សម្រាក
PSA 20:4	សូម​ព្រះអង្គ​ប្រទាន​នូវ​អ្វីៗ​មក​ព្រះ‌រាជា តាម​តែព្រះករុណា​ប្រាថ្នា និង​ធ្វើ​ឲ្យផែនការរបស់​ព្រះ‌រាជា​បាន​សម្រេចដែរ។
PSA 20:5	នោះពួក​យើងនឹង​បាន​ស្រែក​ហ៊ោ​ដោយ​អំណរ នឹង​ជ័យ​ជម្នះ​របស់​ព្រះ​ករុណា នៅក្នុង​ព្រះ‌នាម​នៃ​ព្រះ​ជាម្ចាស់របស់​យើងហើយ​លើក​ទង់​ជ័យ​ឡើង។ សូម​ព្រះ‌អម្ចាស់ សម្រេច​តាម អស់​ទាំង​សំណូម​របស់​ព្រះ‌ករុណា​ផង។
PSA 20:6	ឥឡូវ​នេះ ខ្ញុំ​ដឹង​ហើយ​ថា ព្រះ‌អម្ចាស់​នឹង ​ចាក់​ប្រេង​តាំងដល់អ្នកដែលព្រះអង្គបានសង្រោះ ព្រះ‌អង្គ​នឹង​ឆ្លើយ​មក​ព្រះ​ករុណា​ពី​ស្ថាន‌សួគ៌ ដ៏​បរិសុទ្ធ​របស់​ព្រះ‌អង្គ ដោយ​ឫទ្ធានុ‌ភាព​នៃ​ព្រះ‌ហស្ត​ស្តាំដែលនឹងជួយព្រះករុណាផង។
PSA 20:7	អ្នក​ខ្លះ​ពឹង​ផ្អែក​លើ​រទេះ​ចម្បាំង​ អ្នក​ខ្លះ​ទៀត​ពឹង​ផ្អែក​លើ​ទ័ព​សេះ​របស់​ខ្លួន ប៉ុន្តែ យើង​ទុក​ចិត្ត​លើ​ព្រះ‌នាម​ព្រះ‌អម្ចាស់ គឺជាព្រះអម្ចាស់​របស់​យើង។
PSA 20:8	អ្នក​ទាំង​នោះ​នឹង​ត្រូវ​​បរា‌ជ័យ ប៉ុន្តែ​យើង​វិញ យើង​នឹងឈរ​យ៉ាង​រឹង‌ប៉ឹង​មាំ‌មួន!
PSA 20:9	ព្រះ‌អម្ចាស់​អើយ សូម​សង្គ្រោះ​ព្រះ‌រាជា​ផង! សូមជួយដល់យើងនៅពេលយើងទូលរកព្រះអង្គ។
PSA 21:1	ឱ​ព្រះ‌អម្ចាស់អើយ ព្រះ​រាជាត្រេក​អរ​ណាស់ ចំពោះ​ឫទ្ធា‌នុភាព​របស់​ព្រះ‌អង្គ ហើយ​ព្រះ​រាជា​រីក‌រាយ​ជា​ខ្លាំង ចំពោះ​ការ​សង្គ្រោះ​របស់​ព្រះ‌អង្គ!
PSA 21:10	ព្រះ​ករុណា​នឹង​បំផ្លាញ​ពូជ​វង្ស​របស់​គេ ឲ្យ​វិនាស​បាត់​ពី​ផែនដី ហើយ​កូន​ចៅ​របស់​គេ ពី​កណ្ដាល​ពួក​មនុស្ស​ជាតិ​ទៅ​ដែរ។
PSA 21:11	ដ្បិត ពួក​គេ​ឃុប‌ឃិត​គ្នា​ធ្វើ​បាប​ព្រះ‌ករុណា តែ​ពួក​គេ​គ្មាន​កម្លាំង​អាច​សម្រេច តាម​គម្រោង‌ការ​របស់​ខ្លួន​បាន​ឡើយ!
PSA 21:12	ដ្បិត​ព្រះ‌ករុណា​បាន​ធ្វើ​ឲ្យ​ពួក​គេ​បរា‌ជ័យ ហើយ​ព្រះអង្គ​យឹត​ធ្នូ​បាញ់​ពួក​គេ​ចំ​ពី​មុខ។
PSA 21:13	​ព្រះ‌អម្ចាស់អើយ! សូមព្រះ‌អង្គ​បាន​ថ្កើង​ឡើងដោយ​ឥទ្ធិ‌ឫទ្ធិ​របស់​ព្រះ‌អង្គយើង​ខ្ញុំ​នឹង​ច្រៀង​សរសើរ ពី​ព្រះ‌ចេស្តា​របស់​ព្រះ‌អង្គ។
PSA 21:2	ព្រះអង្គ​ប្រទាន​ឲ្យ​ព្រះ‌រាជា បាន​ទទួល​អ្វីៗ​ដែល​ស្តេច​ប្រាថ្នា​ចង់​បាន គឺ​ព្រះអង្គ​ពុំ​បាន​បដិសេធ​ពាក្យ​ទូល‌អង្វររបស់​ព្រះ‌រាជា​ឡើយ។ សម្រាក
PSA 21:3	ដ្បិត ព្រះអង្គ​បាន​យាង​មក​ជួប​ព្រះ‌រាជា ព្រះអង្គ​បាន​យក​មកុដ​មាស​សុទ្ធ មក​បំពាក់​ព្រះ‌សិរសា​របស់​ព្រះ‌រាជា។
PSA 21:4	ពេល​ព្រះ‌រាជា​ទូល​សូម​ជីវិត ព្រះអង្គបាន​ប្រទាន​ឲ្យ​ស្ដេច​មាន​ជីវិត និង​មាន​ជន្មាយុ​យឺន‌យូរ​​ទៅមុខទៀត។
PSA 21:5	សិរី‌ល្អ​របស់ព្រះ​រាជា​ធំ​អស្ចារ្យ ដោយ‌សារការ​សង្គ្រោះ​របស់​ព្រះ‌អង្គ ព្រះ‌អង្គ​ប្រទាន​ឲ្យ​ព្រះ​រាជា​មាន​កិត្តិយស និង​អានុភាព។
PSA 21:6	ដ្បិត​ព្រះ‌អង្គ​បាន​តាំង​ឲ្យ​ព្រះ​រាជា មាន​ព្រះ​ពរ​ជានិច្ចព្រះ‌អង្គ​ធ្វើ​ឲ្យ​ព្រះ​រាជា​មាន​អំណរ​ដ៏​ពោរ‌ពេញ នៅ​ចំពោះ​ព្រះ‌អង្គ។
PSA 21:7	ព្រះ‌រាជា​ពឹង​ផ្អែក​លើ​ព្រះ‌អម្ចាស់ ហើយ​ដោយ‌សារ​ព្រះ‌ហឫទ័យ​សប្បុរស ស្មោះ​ត្រង់​របស់​ព្រះ​ដ៏​ខ្ពង់‌ខ្ពស់​បំផុត រាជ្យ​របស់​ព្រះ‌រាជា​នឹង​មិន​ត្រូវ​រលំ​សោះ​ឡើយ។
PSA 21:8	ព្រះ‌ករុណា​នឹង​ចាប់​ខ្មាំង​សត្រូវ​ទាំង​ប៉ុន្មាន របស់​ព្រះអង្គ ព្រះអង្គ​នឹង​ប្រើ​អំណាច​ចាប់​អស់​អ្នកដែល​ស្អប់​ព្រះអង្គ។
PSA 21:9	នៅ​វេលា​ដែល​ព្រះ​ករុណា​យាង​មក​ដល់ ទ្រង់​នឹង​ធ្វើឲ្យ​គេ​បាន​ដូច​ជា​គុក​ភ្លើង​ដែល​ឆេះ​ក្តៅ ព្រះ‌យេហូវ៉ា​នឹង​លប​គេដោយ​ សេចក្ដី​ក្រោធ​របស់​ព្រះ‌អង្គ ហើយ​ភ្លើង​នឹង​ឆេះ​បំផ្លាញ​គេ​អស់​ទៅ។
PSA 22:1	ឱ​ព្រះជាម្ចាស់​នៃ​ទូលបង្គំ ឱ​ព្រះ​ជាម្ចាស់នៃ​ទូលបង្គំ​អើយ! តើហេតុ​អ្វី​បាន​ជា​ព្រះអង្គ​បោះ‌បង់​ចោលទូលបង្គំ​ដូច្នេះ? ហេតុ​អ្វីបាន​ជា​ព្រះ‌អង្គ​គង់​ឆ្ងាយ​មិន​ជួយ​ទូល‌បង្គំ ឬ​ស្តាប់​ពាក្យ​ស្រែក​ថ្ងូរ​របស់​ទូល‌បង្គំ​ដូច្នេះ?
PSA 22:10	កាល​ពី​ទូលបង្គំ​កើត​មក ព្រះអង្គ​បាន​ទទួល​ទូលបង្គំ​ធ្វើ​ជា​កូន ព្រះអង្គ​ជា​ព្រះ​របស់​ទូលបង្គំ តាំង​តែ​ពី​មុន​ពេល ដែល​ទូលបង្គំ​ស្គាល់​ពន្លឺ​ថ្ងៃ​ទៅ​ទៀត។
PSA 22:11	សូម​កុំ​គង់​ឆ្ងាយ​ពី​ទូល‌បង្គំ​ឡើយ ដ្បិត​ទុក្ខ​លំបាកបានមក​ជិត​ហើយ គ្មាន​អ្នក​ណា​ជួយ​ទូល‌បង្គំ​ទេ។
PSA 22:12	មានគោ​ឈ្មោល​ជា​ច្រើន​បាន​ឡោម​ព័ទ្ធ​ទូល‌បង្គំ គឺ​គោ​ឈ្មោល​ខ្លាំង​ៗ​ពី​ស្រុក​បាសាននៅ​ជុំ​វិញ​ទូល‌បង្គំ។
PSA 22:13	ពួកវាហា​មាត់​ធំ​ដាក់​ទូល‌បង្គំ ដូច​ជា​សិង្ហ​ដែល​គ្រហឹម​បម្រុង​នឹង​ហែក​ស៊ី។
PSA 22:14	ទូល‌បង្គំ​ត្រូវ​ច្រួច​ចេញ​ដូច​ជា​ទឹក ហើយ​អស់​ទាំង​ឆ្អឹង​នៃ​ទូល‌បង្គំ​សណ្តក​ចេញ​ពី​គ្នា។ ចិត្ត​ទូល‌បង្គំប្រៀប​ដូច​ជា​ក្រមួន ដែល​រលាយ​នៅ​ក្នុង​ខ្លួន។
PSA 22:15	កម្លាំង​ទូល‌បង្គំ​ស្ងួត ដូច​អំបែង​ឆ្នាំង អណ្ដាត​ទូល‌បង្គំ​ជាប់​នៅ​ក្រអូម​មាត់ព្រះ‌អង្គ​ដាក់​ទូល‌បង្គំ ចុះ​ទៅ​ក្នុង​ធូលី​នៃ​សេចក្ដី​ស្លាប់។
PSA 22:16	ដ្បិត មាន​ពួក​ឆ្កែ​ឡោម‌ព័ទ្ធ​ទូល‌បង្គំជុំ​វិញ មនុស្ស​អាក្រក់​មួយ​ហ្វូង ដើរ​ក្រវែល​ជុំ‌វិញ​ទូល‌បង្គំ គេ​បាន​ចាក់​ទម្លុះ​ដៃ​ជើង​ទូល‌បង្គំ
PSA 22:17	ទូល‌បង្គំ​អាច​រាប់​ឆ្អឹង​ជំនីរ របស់​ទូល‌បង្គំ​បាន​ទាំង​អស់។ គេ​សម្លក់​សម្លឹង​មក​ទូល‌បង្គំ។
PSA 22:18	ពួកគេ​យក​សម្លៀក‌បំពាក់​ទូលបង្គំ​ទៅ​ចែក​គ្នា និង​នាំ​គ្នា​ចាប់​ឆ្នោត​យក​អាវ​វែង​របស់​ទូលបង្គំ ។
PSA 22:19	ឱ​ព្រះ‌អម្ចាស់​អើយ សូម​កុំ​នៅ​ឆ្ងាយ​ពី​ទូលបង្គំ​ឡើយ ព្រះអង្គ​ជា​កម្លាំង​នៃ​ទូលបង្គំ សូម​ឆាប់នឹងយាងមកជួយទូលបង្គំផង!
PSA 22:2	​ព្រះជាម្ចាស់​អើយ ទូល‌បង្គំ​ស្រែក​អំពាវ​នាវ​នៅ​ពេល​ថ្ងៃ ប៉ុន្តែ​ព្រះ‌អង្គ​មិន​ឆ្លើយ​តប​ទេ ហើយនៅ​ពេល​យប់​ ទូលបង្គំក៏មិនបាននៅស្ងៀមដែរ!
PSA 22:20	សូម​សង្រ្គោះទូលបង្គំឲ្យ​រួច​ផុត​ពី​មុខ​ដាវ ហើយជួយជីវិត​ទូលបង្គំ​ឲ្យរួច​ផុត​ពី​ចង្កូម​របស់​ឆ្កែ​ទាំង​នេះ។
PSA 22:21	សូម​សង្គ្រោះ​ទូលបង្គំ​ឲ្យ​រួច​ផុត​ពី​មាត់​សិង្ហ និង​ពី​ស្នែង​ក្របីផង។
PSA 22:22	ទូលបង្គំ​នឹងប្រកាសពី​ព្រះ‌នាម របស់​ព្រះអង្គ​ឲ្យ​បងប្អូន​ទូលបង្គំ​ស្គាល់ ទូលបង្គំ​នឹង​ច្រៀង​លើក​តម្កើង​ព្រះអង្គនៅ​ក្នុង ​អង្គ​ប្រជុំ។
PSA 22:23	អ្នក​ណា​ដែល​កោត​ខ្លាច​ដល់​ព្រះ‌អម្ចាស់​សូមសរសើរ​តម្កើង​ព្រះ‌អង្គ! អ្នក​ណា​ដែល​ជា​ពូជ‌ពង្ស​យ៉ាកុប ចូរ​លើក​តម្កើង​ព្រះ‌អង្គ! អ្នក​ណាដែល​ជា​ពូជ‌ពង្ស​អុីស្រា‌អែល​អើយ ចូរ​ស្ញប់​ស្ញែង​នៅ​ចំពោះ​ព្រះ‌អង្គ​ចុះ!
PSA 22:24	ដ្បិត ​ព្រះ‌អង្គ​មិន​បាន​មើល‌ងាយ ឬ​ស្អប់​ខ្ពើម មនុស្ស​ក្រក្រីមាន​ទុក្ខ​វេទនា​ឡើយ ព្រះអម្ចាស់មិន​បាន​លាក់​ព្រះ‌ភក្ត្រ​នឹង​គេ​ដែរ កាល​អ្នក​នោះ​បាន​ទូល​រក​ព្រះ‌អង្គ ព្រះជាម្ចាស់ព្រះ‌ សណ្ដាប់។
PSA 22:25	សូម​លើក​តម្កើង​ព្រះអង្គ នៅ​ក្នុង​អង្គ​ប្រជុំ​ដ៏​ធំ ទូលបង្គំ​នឹង​លា​បំណន់ នៅ​មុខ​អស់​អ្នក​គោរព​កោត​ខ្លាច​ព្រះ អង្គ។
