[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
مسجل[S] مسجل|مْسَجَّل[S] مْسَجَّل	<ol style="listStyleType: circle;"><li style="">registered                          ;[pronunciation: mºsajjal]</li> <li style="">taped, recorded</li></ol>
مسجون|مَسْجُوْن	<ol style="listStyleType: circle;"><li style="">convict, prisoner</li></ol>
مسح|مَسَح	<ol style="listStyleType: circle;"><li style="">to wipe off, wipe away, rub off (ه = s.th.)                                                                                       ;(i.e. the object in this case is what is being removed);[pronunciation: masaḥ، yimsaḥ]</li> <li style="">to dust (ه = s.th.)</li> <li style="">to wipe, wipe off (ه = s.th.)                                                                                                          ;(the object in this case is the main object being wiped off, like a table);[pronunciation: masaḥ، yimsaḥ]</li> <li style="">to mop, mop up (ه = s.th.)</li> <li style="">to wash (ه = the floor)</li> <li style="">to wipe out, destroy, eliminate (ه = s.th.)                               ;[pronunciation: masaḥ، yimsaḥ]</li> <li style="">to polish (ه = s.th.)                               ;[pronunciation: masaḥ، yimsaḥ]</li> <li style="">to plane (ه = wood)                               ;[pronunciation: masaḥ، yimsaḥ]</li> <li style="">to survey (ه = land)                               ;[pronunciation: masaḥ، yimsaḥ]</li></ol>
مسح|مَسَّح	<ol style="listStyleType: circle;"><li style="">to wipe ;</li> <li style="">to swipe ;</li> <li style="">to dust ;</li></ol>
مسح(مسح)|مَسِح(مَسْح)	<ol style="listStyleType: circle;"><li style="">wiping, rubbing (see verb for more definitions) (maSdar)</li> <li style="">survey</li></ol>
مسحب|مَسْحَب	<ol style="listStyleType: circle;"><li style="">مَسْحَب هَوَا : source of a breeze or draft, or place where wind passes through                                                                       ; (المكان الذي تهب فيه الرياح أو المكان الذي لا ينقطع فيه مجرى الهواء);</li></ol>
مسحب|مْسَحَّب	<ol style="listStyleType: circle;"><li style="">having pulled, tugged</li> <li style="">deboned</li> <li style="">split, pulled apart (???) (see example)</li></ol>
مسحورة|مَسْحُورَة	<ol style="listStyleType: circle;"><li style="">a musical instrument, made from a reed with holes that one blows in to make sounds                                                         ; (من آلات الموسيقى، قصبةٌ ذات ثقوب يُنْفَخ فيها فتصوّت);</li> <li style="">a food make of milk, sugar, and wine                                                    ; (أكلة تُصْنَع من الحليب والسكّر يُضاف غليها خمرة);</li></ol>
مسحوق|مَسحُوْق	<ol style="listStyleType: circle;"><li style="">powder                                ;[pronunciation: masḥūq،masāḥīq]</li> <li style="">(powder) laundry detergent                                ;[pronunciation: masḥūq،masāḥīq]</li></ol>
مسخر|مَسْخَر	<ol style="listStyleType: circle;"><li style="">to mock, ridicule (ه = s.o.) (مسخر الرجلُ صاحبَه، سخِر منه وهزأ به أو جعله موضع السخرية) ;</li></ol>
مسخرة|مَسخَرَة	<ol style="listStyleType: circle;"><li style="">مَسْخَرَة : (making) mockery, mocking, ridicule</li> <li style="">laughing stock, object of ridicule                                                  ;(ما يُسْخَر منه);[pronunciation: masḵɑrɑ،masāḵer]</li> <li style="">fancy dress, dressing up, masquerade                                 ;[pronunciation: masḵɑrɑ،masāḵer]</li></ol>
مسخم|مْسَخَّم	<ol style="listStyleType: circle;"><li style="">blackened (of a person), covered with soot (figuratively)</li></ol>
مسخن|مْسَخَّن	<ol style="listStyleType: circle;"><li style="">msakhan, musakhan (A well known dish chicken, onions, and sumac, typically considered Palestinian in origin.)</li></ol>
مسخن|مُسْخِن	<ol style="listStyleType: circle;"><li style="">funny, witty ;</li></ol>
مسد|مَسَّد	<ol style="listStyleType: circle;"><li style="">to massage (ه / على = s.th. / s.o.), to run one's hands (على = over s.th., e.g. the back) and apply pressure and force (مَسَّد الشيءَ، أمرَّ يده عليه بشيء من الشدّة والضغط) ;</li> <li style="">to straighten (ه = s.th.)</li></ol>
مسدس|مْسَدَّس	<ol style="listStyleType: circle;"><li style="">revolver, pistol</li></ol>
مسدود[S] مسدود|مَسدُوْد[S] مَسْدُوْد	<ol style="listStyleType: circle;"><li style="">blocked                        ;[pronunciation: masdūd]</li></ol>
مسر|مْسِرّ	<ol style="listStyleType: circle;"><li style="">joyful, gratifying</li></ol>
مسرب|مَسْرَب	<ol style="listStyleType: circle;"><li style="">lane (on the road)(note that the usage of this word varies by region. Like in Egypt and the Gulf, حارة is used for lane on the road. However, in Jordan, حارة would be used for a lane in track running)</li></ol>
مسرب|مْسَرّب	<ol style="listStyleType: circle;"><li style="">sneaking, having snuck in / out ;</li></ol>
مسرح|مَسرَح	<ol style="listStyleType: circle;"><li style="">theater                                ;[pronunciation: masraḥ،masāreḥ]</li> <li style="">stage                                ;[pronunciation: masraḥ،masāreḥ]</li> <li style="">theater, theatrical art                                ;[pronunciation: masraḥ،masāreḥ]</li> <li style="">setting</li></ol>
مسرح|مْسَرَّح	<ol style="listStyleType: circle;"><li style="">open-ended (yarn)</li></ol>
مسرحية|مَسرَحِيِّة	<ol style="listStyleType: circle;"><li style="">play (in a theater)                                        ;[pronunciation: masraḥiyye،masraḥiyyāt]</li></ol>
مسرع|مِسْرِع	<ol style="listStyleType: circle;"><li style="">speeding</li></ol>
مسروب|مَسْرُوب	<ol style="listStyleType: circle;"><li style="">a long narrow alley                         ; (الزقاق الضيّق الطويل);</li> <li style="">a narrow mountain trail                                ; (الطريق الضيّق في جانب الجبل);</li></ol>
مسرور|مَسرُوْر	<ol style="listStyleType: circle;"><li style="">happy, pleased, glad                                         ;[pronunciation: masrūr،masrūrīn،masrūrɑ]</li></ol>
مسروق|مَسرُوْق	<ol style="listStyleType: circle;"><li style="">stolen                                ;[pronunciation: masrūq،masrūqa]</li></ol>
مسط|مَسَط	<ol style="listStyleType: circle;"><li style="">to wring out or press (ه = on s.th.) to get the water out of it                                                                                        ; (مصت الثوبَ، عصره، ومصت الشيءَ، الـمُبَلّل، أمرّه في يده ضاغطًا عليه ليخرج منه الماء);</li> <li style="">to wring out (ه = clothes) ;</li></ol>
مسطاح	<ol style="listStyleType: circle;"><li style="">a patch of ground, leveled so that figs, grapes, etc. can be dried on it                                                    ; (بقعة من الأرض، تُمَهَّد ليجفف فيها التين والعنب);</li></ol>
مسطاح|مِسْطَاح	<ol style="listStyleType: circle;"><li style="">a piece of ground that is leveled so that things can be laid out on it to dry (Such as fruits) (قطعة من الأرض تمهَّد وتسوَّى كي يسطحوا عليها التين والعنب ليجف) ;</li></ol>
مسطار|مِسْطَار	<ol style="listStyleType: circle;"><li style="">grape juice before it is boiled to make molasses                                                                                               ; (سُلافة اي عصير العنب قبل غليه لتحويله إلى دبس ويشقون فعلًا منه فيقولونمَسْطَرالعنب، عَصَره);</li></ol>
مسطح|مْسَطَّح	<ol style="listStyleType: circle;"><li style="">flat</li></ol>
مسطح|مَسْطَح	<ol style="listStyleType: circle;"><li style="">to lay out, spread out flat (ه = s.th.) (e.g. to lay out something in the sun so it can dry) (مسطح الشيءَ، سطّحه على الارض ونشره في الشمس ليجف أو ينشف) ;</li></ol>
مسطر|مْسَطَّر	<ol style="listStyleType: circle;"><li style="">lined, ruled                                    ;[pronunciation: mºsɑṭṭɑr،mºsɑṭṭɑrɑ]</li></ol>
مسطر|مَسْطَر	<ol style="listStyleType: circle;"><li style="">to juice (ه = grapes) ;</li></ol>
مسطرة|مَسطَرَة	<ol style="listStyleType: circle;"><li style="">ruler, straight edge (for drawing lines)                                                             ;(خشبة مستقيمة يُسَطَّر بها);[pronunciation: mɑsṭɑrɑ،mɑsᾱṭer]</li> <li style="">sample, specimen                                                     ; (جزء من متاع يؤخذ ليكون مثالًا ويسمونها أيض عينية);</li></ol>
مسطرة|مَسِطْرَة	<ol style="listStyleType: circle;"><li style="">ruler (for drawing)                         [pronunciation: masiTra ]</li></ol>
مسطرة|مَسْطَرة	<ol style="listStyleType: circle;"><li style="">sample, specimen (نموذج أو عينية تؤخذ من الشيء للفحص)                                ;see also under the root س ط ر ;</li></ol>
مسطرين|مَسْطَرِين	<ol style="listStyleType: circle;"><li style="">the trowel that a builder uses for clay (ملعقة البناء ياخذ بها الطين) ;</li></ol>
مسطل|مْسَطِّل	<ol style="listStyleType: circle;"><li style="">disoriented, distracted, woozy, spaced out                                               ;[pronunciation: mºsɑṭṭel،mºsɑṭṭºlīn،mºsɑṭṭºle]</li></ol>
مسطول|مَسطُوْل	<ol style="listStyleType: circle;"><li style="">intoxicated, drunk, drugged, high, stoned (any kind of intoxication basically)                                         ;[pronunciation: mɑsṭūl،mɑsṭūlīn،mɑsṭūle]</li> <li style="">stupid, idiot                                                       ; (أحمق، أبله);[pronunciation: mɑsṭūl،mɑsṭūlīn،mɑsṭūle]</li></ol>
مسطول|مَسْطُوْل	<ol style="listStyleType: circle;"><li style="">fool, idiot        ; (أبله)</li></ol>
مسطوم|مَسْطُوْم	<ol style="listStyleType: circle;"><li style="">choked up</li></ol>
مسقط|مَسْقَط	<ol style="listStyleType: circle;"><li style="">place where something falls or lands                          [pronunciation: [S] ق = ء]</li></ol>
مسقعة|مْسَقّعَة	<ol style="listStyleType: circle;"><li style="">mussaka, (a kind of food, made in the Levant countries as well as Egypt, Greece, and other countries. It varies from place to place but the defining quality is that it has eggplant in it and is traditionally eaten cold)                                                                                     ; (لونٌ من ألوان طبخ الباذنجان مع الحمّص والزيت ويؤكل بارِدًا);[pronunciation: ق = ء]</li></ol>
مسقوف|مَسْقُوْف	<ol style="listStyleType: circle;"><li style="">roofed, having a roof                          [pronunciation: [S] ق = ء]</li></ol>
مسك|مِسِك	<ol style="listStyleType: circle;"><li style="">to catch, grab, seize, grasp (ه = s.th., or ب / في = s.th., من = by s.th.)                               ;[pronunciation: misek، yimsek]</li> <li style="">to get a grip on (ه = s.th.), hold (ه = s.th.)                                        ;[pronunciation: misek، yimsek][keyword]</li> <li style="">to hold back, restrain, hold up (ه = s.th.)                              [pronunciation: misek، yimsek]</li> <li style="">to catch onto (ه = s.th.)                              [pronunciation: misek، yimsek]</li> <li style="">to contain, hold                               ;[pronunciation: misek، yimsek]</li> <li style="">to maintain (ه = records, accounts)</li></ol>
مسك|مِسْك	<ol style="listStyleType: circle;"><li style="">musk ;</li></ol>
مسك|مَسَّك	<ol style="listStyleType: circle;"><li style="">to let or make (ه = s.o.) hold (ه = s.th.)                                  ;[pronunciation: massak، yºmassek]</li> <li style="">to lend, place at (ه = s.o.'s) disposal (ه = s.th.)                                  ;[pronunciation: massak، yºmassek]</li></ol>
مسكبة|مَسْكَبِة	<ol style="listStyleType: circle;"><li style="">a strip or patch of land, whose edges are raised so that water does not run off the land, used for growing plants (ثَلْمٌ أو قطعة أرض صغيرة مستطيلة او مربَّعة يكون لها جوانب من التراب مرتفعة لِحِفْظ الماء يُزْرَع فيها البقول والزهور وخلافها) ;</li></ol>
مسكة|مَسْكِة	<ol style="listStyleType: circle;"><li style="">handle, grip</li> <li style="">knob</li> <li style="">hilt</li> <li style="">butt (e.g. of gun)</li></ol>
مسكج|مْسَكِّج	<ol style="listStyleType: circle;"><li style="">sufficient, of decent enough quality (like saying "it'll do" it English - it's not great but it will suffice)                                                  ; (أي لا بأس بها أو انها من النوع الذي يجوز عندك);</li></ol>
مسكر|مَسْكَر	<ol style="listStyleType: circle;"><li style="">a piece of land in which vegetables are planted (قطعة أرض تُزرَع مخضَّرات) ;</li></ol>
مسكر|مِسْكِر	<ol style="listStyleType: circle;"><li style="">intoxicating (of alcohol)</li></ol>
مسكر[S] مسكر|مْسَكَّر[S] مْسَكَّر	<ol style="listStyleType: circle;"><li style="">closed, locked                          ;[pronunciation: mºsakkar]</li> <li style="">candied</li></ol>
مسكسك|مْسَكْسَك	<ol style="listStyleType: circle;"><li style="">skinny and bony</li></ol>
مسكن|مَسكَن	<ol style="listStyleType: circle;"><li style="">home, residence, domicile dwelling place                                ;[pronunciation: maskan،masāken]</li></ol>
مسكن|مُسَكِّن	<ol style="listStyleType: circle;"><li style="">tranquilizer, sedative                                     ;[pronunciation: musakkin،musakkināt]</li></ol>
مسكون|مَسكُوْن	<ol style="listStyleType: circle;"><li style="">inhabited, populated                                ;[pronunciation: maskūn،maskūne]</li> <li style="">haunted                                ;[pronunciation: maskūn،maskūne]</li></ol>
مسكين|مِسكِيْن	<ol style="listStyleType: circle;"><li style="">poor, unfortunate, hard-up, poor soul                                        ;[pronunciation: miskīn،masākīn،miskīne]</li></ol>
مسلة|مْسَلِّة	<ol style="listStyleType: circle;"><li style="">large needle, pack needle                                 ; (إبرة كبيرة يُخاط بها العِدْل);</li></ol>
مسلت|مَسْلَت	<ol style="listStyleType: circle;"><li style="">to throw (ه = s.th.) aside, toss aside (مسلت الشيءَ، رمى به وأطرحه جانبًا) ;</li></ol>
مسلح|مُسَلَّح	<ol style="listStyleType: circle;"><li style="">armed, weaponized                          ;[pronunciation: musallaḥ]</li></ol>
مسلح|مْسَلَّح	<ol style="listStyleType: circle;"><li style="">armed, bearing weapons                                                            ;[pronunciation: mºsallaḥ،mºsallaḥīn،mºsallaḥa[CA] musallaḥ]</li> <li style="">armed person, person with weapons, armed combatant                                                            ;[pronunciation: mºsallaḥ،mºsallaḥīn،mºsallaḥa[CA] musallaḥ]</li> <li style="">reinforced (said of concrete)                                                            ;[pronunciation: mºsallaḥ،mºsallaḥīn،mºsallaḥa[CA] musallaḥ]</li></ol>
مسلخ|مَسْلَخ	<ol style="listStyleType: circle;"><li style="">slaughterhouse</li></ol>
مسلسل|مُسَلسَل	<ol style="listStyleType: circle;"><li style="">serial, series (on the radio, television, etc.)                                     ;[pronunciation: musalsal،musalsalāt]</li></ol>
مسلسل[S] مسلسل|مُسَلسَل[S] مْسَلْسَل	<ol style="listStyleType: circle;"><li style="">fluent, flowing, continuous                          ;[pronunciation: musalsal]</li> <li style="">chain, linked, serial (adjective)                         [pronunciation: musalsal]</li></ol>
مسلسلة|مْسَلْسلِة	<ol style="listStyleType: circle;"><li style="">series, serial (on the radio, television, etc.)                 ;(same as مسلسل )</li></ol>
مسلفة|مَسْلَفِة	<ol style="listStyleType: circle;"><li style="">harrow</li></ol>
مسلق|مَسْلَق	<ol style="listStyleType: circle;"><li style="">to lengthen (مسلق الشيءُ، طال ونما) ;</li> <li style="">to grow tall (مَسْلَق الولدُ، طالت قامته) ;</li></ol>
مسلك|مَسلَك	<ol style="listStyleType: circle;"><li style="">way, path                                ;[pronunciation: maslak،masālek]</li> <li style="">traffic lane                                ;[pronunciation: maslak،masālek]</li> <li style="">career</li></ol>
مسلك|مْسَلِّك	<ol style="listStyleType: circle;"><li style="">see example                          ;[pronunciation: mºsallek]</li></ol>
مسلكة|مَسْلَكِة	<ol style="listStyleType: circle;"><li style="">spindle, spool (for thread)                                             ; (قصبة رفيعة تجمع عليها الغازلة خيوط غزلها);</li> <li style="">plural مْسالِك : long, slender fingers                                                     ; (ومْسَالِك تطلق أيضًا على الأصابع الطويلة الدقيقة);</li></ol>
مسلم|مْسَلِّم	<ol style="listStyleType: circle;"><li style="">fatalistic</li></ol>
مسلم|مِسلِم	<ol style="listStyleType: circle;"><li style="">Muslim, Moslem                                                    ;[pronunciation: mislem،misᵉlmīn،misᵉlme[CA] muslim]</li></ol>
مسلوخ|مَسْلُوخ	<ol style="listStyleType: circle;"><li style="">beaten, whipped ;</li></ol>
مسلوق[S] مسلوق|مَسلُوْق[S] مَسْلُوْق	<ol style="listStyleType: circle;"><li style="">boiled                                 ;[pronunciation: maslūq[S] ق = ء]</li></ol>
مسلي|مْسَلِّي	<ol style="listStyleType: circle;"><li style="">amusing, fun</li></ol>
مسم|مُسِمّ	<ol style="listStyleType: circle;"><li style="">poisonous, venomous                                ;[pronunciation: musemm،musimme]</li></ol>
مسمار|مُسمَار	<ol style="listStyleType: circle;"><li style="">nail (e.g. for carpentry)                                ;[pronunciation: musmᾱr،masāmīr]</li> <li style="">peg (for holding together pieces of wood)</li> <li style="">(piece of) clove, cloves (online usages show it more as referring to a single clove or in general to cloves. But one example I've found uses almost more as a synonym for قرنفل .)</li></ol>
مسماك|مِسْمَاك	<ol style="listStyleType: circle;"><li style="">a pole with a forked end, used for instance to prop up a trellis                                                              ; (خشبة أحد طرفيها له شعبتان ترفَع بواسطتها الدالية عن الأرض);</li> <li style="">a piece of wood that has a forked or spit end, used to hold up an espalier (for a grapevines) and the like                                                                              ; (خشبة ذات طرف منشعب، تُسند به الدالية أو تُرفَع عن الأرض كي لا يحترق العنب);</li></ol>
مسمر|مَسْمَر	<ol style="listStyleType: circle;"><li style="">to nail (ه = s.th.), nail down (ه = s.th.)                                        ; (مسمر الشيءَ، سمره بمسمار فتْمَسْمَر);</li> <li style="">to tack (ه = s.th.)</li></ol>
مسمع|مَسْمَع	<ol style="listStyleType: circle;"><li style="">(range of) hearing</li></ol>
مسمك|مَسْمَك	<ol style="listStyleType: circle;"><li style="">to support or raise up (ه = s.th.) with a مَسْمُوك , which is a piece of wood that is forked or branches out at the end                                                    ; (مسمك الشيءَ، سَنَده ودعمه بمَسْمُوك، فتْمَسْمَك);</li></ol>
مسمكة|مَسمَكِة	<ol style="listStyleType: circle;"><li style="">fishmonger's, fish shop                                 ;[pronunciation: masmake،masāmek]</li></ol>
مسموح|مَسْمُوْح	<ol style="listStyleType: circle;"><li style="">allowed, permitted (note that مسموح ل becomes مَسْمِح لَو in some dialects)</li></ol>
مسموع|مَسْمُوْع	<ol style="listStyleType: circle;"><li style="">heard</li></ol>
مسموك|مَسْمُوك	<ol style="listStyleType: circle;"><li style="">a pole with a forked end, used for instance to prop up a trellis                                                              ; (خشبة أحد طرفيها له شعبتان ترفَع بواسطتها الدالية عن الأرض);</li></ol>
مسموم|مَسمُوْم	<ol style="listStyleType: circle;"><li style="">poisoned, poisonous                                ;[pronunciation: masmūm،masmūme]</li></ol>
مسن|مُسِنّ	<ol style="listStyleType: circle;"><li style="">old, elderly                                 ;[pronunciation: musenn،musinnīn]</li> <li style="">old person, elderly person                                 ;[pronunciation: musenn،musinnīn]</li></ol>
مسن[S]مسن|مْسَنّ[S]مْسَنّ	<ol style="listStyleType: circle;"><li style="">grindstone, whetstone (hand-held)                        ;[pronunciation: mºsann]</li> <li style="">strop</li></ol>
مسند|مَسْنَد	<ol style="listStyleType: circle;"><li style="">back</li></ol>
مسنن|مْسَنَّن	<ol style="listStyleType: circle;"><li style="">jagged</li> <li style="">gear</li></ol>
مسنود|مَسْنُوْد	<ol style="listStyleType: circle;"><li style="">leaned, tilted</li></ol>
مسهب|مِسْهَب	<ol style="listStyleType: circle;"><li style="">long-winded</li></ol>
مسهل|مُسهِل	<ol style="listStyleType: circle;"><li style="">laxative                                 ;[pronunciation: mushel،mushilāt]</li></ol>
مسهم|مْسَهِّم	<ol style="listStyleType: circle;"><li style="">thoughtless, absent-minded</li></ol>
مسهول|مَسهُوْل	<ol style="listStyleType: circle;"><li style="">suffering from diarrhea                                ;[pronunciation: mashūl،mashūle]</li></ol>
مسواق|مسْوَاق	<ol style="listStyleType: circle;"><li style="">buying (الشراء) ;</li></ol>
مسوة|مَسْوِة	<ol style="listStyleType: circle;"><li style="">a fermenting agent for cheese, also called مجبنة, it is a "resin" extracted from a goat's stomach when it is born                                                                           ; (خمرة للجبن وتسمَّى أيضا مجبنة وهي صمغ يُستخرج من بطن الجدي عند ولادته);</li></ol>
مسوجك|مْسَوْجك	<ol style="listStyleType: circle;"><li style="">crooked, not straight (said of clothes, a building, etc.) ;</li></ol>
مسودة|مِسوَدِّة	<ol style="listStyleType: circle;"><li style="">draft                                    ;[pronunciation: miswadde،miswaddāt]</li> <li style="">negative (of film)                                    ;[pronunciation: miswadde،miswaddāt]</li> <li style="">galley</li></ol>
مسودة|مْسَوَّدِة	<ol style="listStyleType: circle;"><li style="">a large glass (زجاجة كبيرة) ;</li> <li style="">draft, rough draft, rough sketch, rough copy ;</li></ol>
مسوس|مْسَوِّس	<ol style="listStyleType: circle;"><li style="">decayed, rotten (said of a tooth)                                    ;[pronunciation: mºsawwes،mºsawwºse]</li> <li style="">worm-eaten (said of wood)                                    ;[pronunciation: mºsawwes،mºsawwºse]</li> <li style="">worm-eaten / worm-ridden                                    ;[pronunciation: mºsawwes،mºsawwºse]</li> <li style="">decayed, bad (said of a tooth)                                    ;[pronunciation: mºsawwes،mºsawwºse]</li></ol>
مسى|مَسَّى	<ol style="listStyleType: circle;"><li style="">to cause (ه = s.o.) to spend the evening (said of God)                                ;[pronunciation: massa، yºmassy]</li> <li style="">to say good evening (على = to s.o.), to give evening greetings (على = to s.o.)                                ;[pronunciation: massa، yºmassy]</li></ol>
مسيج|مْسَيَّج	<ol style="listStyleType: circle;"><li style="">fenced in, hedged in                                    ;[pronunciation: mºsayyaj،mºsayyaje]</li></ol>
مسيح|مَسِيْح	<ol style="listStyleType: circle;"><li style="">messiah                       ;[pronunciation: masīḥ]</li> <li style="">المَسِيْح : Jesus, the Messiah, Christ                                                                               ;(note that both Christians and Muslims use this phrase);[pronunciation: masīḥ]</li></ol>
مسيحي|مَسِيْحي	<ol style="listStyleType: circle;"><li style="">Christian, of or related to Christianity                                             ;[pronunciation: masīḥy،masīḥiyyīn،masīḥiyye]</li> <li style="">Christian (person)                                             ;[pronunciation: masīḥy،masīḥiyyīn،masīḥiyye]</li></ol>
مسيحية[S] مسيحية|مَسِيْحِيَّة[S] مَسِيْحِيِّة	<ol style="listStyleType: circle;"><li style="">المَسِيحِيَّة : Christianity:                          [pronunciation: masīḥiyye]</li> <li style="">collective noun: Christians                                                                                                                                                                                                                         ;note that when used in this manner, it used in as a plural in the grammatical sense, but it refers to “Christians” as a group, and hence is less individualizing than the word مَسِيْحِيِّين ;[pronunciation: masīḥiyye]</li></ol>
مسيف|مْسَيَّف	<ol style="listStyleType: circle;"><li style="">see example ;</li></ol>
مسيل|مُسِيْل	<ol style="listStyleType: circle;"><li style="">causing to flow                                                                        ;(most commonly heard in the phrase for tear gas);[pronunciation: musīl]</li></ol>
مسيو|مِسْيَو	<ol style="listStyleType: circle;"><li style="">Mister, Monsieur, Mr.</li></ol>
مش|مِش	<ol style="listStyleType: circle;"><li style="">negative particle: not, un-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;this is defined in various ways (See below for specific uses). In general though, this is thought of as either 1. negating a non-verb (a noun, adjective, adverb, etc.), or 2. negating an entire clause. In contrast, ما would just negate the verb. This is of course a very simplified explanation, see the specific definitions and examples for more information.Anis Freyha specifically says that it is used for الجمل المصدرية and not الجمل الحالية, which is interesting because it corresponds to what Brustad says in "The Syntax of Spoken arabic" as well. (أداة نقي تُنفى بها الجمل المصدرة بالضمير أو الاسم ولا تنفى بها الجمل الحالية يُقال "مِشْ هَون أخوك" ولا يُقالمِشقام);[pronunciation: miš / muš]</li> <li style="">negation of individual noun (not a child), adjective (not nice), adverb (not quickly), or pronoun (not me, not you)                                    ;[pronunciation: miš / muš][keyword]</li> <li style="">am not, is not, are not                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;negation of entire clause, particularly the predicate of a nominal sentence;note that in Arabic, the present tense nominal sentence often lacks any kind of verb, rather the verb “to be” is understood. Hence,مشis often translated as “am not”, “is not”, or “are not”.note that this includes negation of participles, even if there is no clearly defined subject. Soمشساكن هون means “he / I / you is / am / are not residing here”, but the subject is understood by context.;[pronunciation: miš / muš]</li> <li style="">will not                                                                                                               ;negation of future tense marker رَح ;note this is negating the marker, not the verb;[pronunciation: miš / muš]</li> <li style="">negation of present tense marker عَم                            ;[pronunciation: miš / muš]</li> <li style="">isn't it true that...                                                                                          ;this is the negation of subject clause, but implies a question;[pronunciation: miš / muš]</li></ol>
مشؤوم|مَشؤُوْم	<ol style="listStyleType: circle;"><li style="">unlucky, ill-omened, inauspicious, ominous                                  ;[pronunciation: mašʔ¨ūm،mašʔ¨ūme]</li></ol>
مشابه|مْشَاْبِه	<ol style="listStyleType: circle;"><li style="">like, similar</li></ol>
مشابهة|مْشَاْبَهَة	<ol style="listStyleType: circle;"><li style="">resemblance, similarity</li></ol>
مشارعة|مْشارعة	<ol style="listStyleType: circle;"><li style="">disagreement, difference of opinion, argument                    ; (اختلاف في الرأي);</li></ol>
مشاعر|مَشَاْعِر	<ol style="listStyleType: circle;"><li style="">feelings, emotions</li></ol>
مشاغب|مْشاغِب	<ol style="listStyleType: circle;"><li style="">troublemaker, naughty ;</li></ol>
مشاغبة|مْشَاغَبِة	<ol style="listStyleType: circle;"><li style="">trouble, disturbance                                     ;[pronunciation: mºšāġabe / mušāġabe]</li></ol>
مشاقة|مْشَاقة	<ol style="listStyleType: circle;"><li style="">that last part of a silk worm cocoon after it has been mostly woven. This last part is very fine and sticks to the worm inside of it, making weaving it not easy, so they "مشقها" , i.e. peel it off (أوارخ الشرانق يعد ان تُغْزَل وهي طبقة رقيقة ملاصقة للدودة داخلها وخيطها ليش بالجيد فإنهم يمشقونها أو يندفونها) ;</li></ol>
مشاكلة|مْشَاْكَلِة	<ol style="listStyleType: circle;"><li style="">association (with others, like معاشرة )</li></ol>
مشاكلجي|مَشَاْكِلْجِي	<ol style="listStyleType: circle;"><li style="">troublemaker</li></ol>
مشال|مْشَال	<ol style="listStyleType: circle;"><li style="">مْشَال عِلْبِة بَزْر : the amount of mulberry tree branches needed to bear a container of silk worm eggs. This amount of silk worm eggs was a known amount, between 7 and 10 grams                                                                                                                                                                                                 ; (يقولون مْشَال عِلْبِة بَزْر، ويقصدون بها قَدَرٌ من شجر التوت يكفي لتربية كمية من دود القز الذي يكون بيضه موضوعًا في “علبة”، والكمية هذه معروفة عندهم وأظن أن وزن البيض هذا سبع أو عشر غرامات);</li></ol>
مشاهد|مُشَاهِد	<ol style="listStyleType: circle;"><li style="">onlooker, viewer, watcher, spectator                                  [pronunciation: mušāhed،mušāhidīn]</li></ol>
مشاهدة|مْشَاْهَدِة	<ol style="listStyleType: circle;"><li style="">observation</li></ol>
مشاهرة|مْشَاْهَرَة	<ol style="listStyleType: circle;"><li style="">monthly (adverbially)</li></ol>
مشاورة|مْشَاْوَرَة	<ol style="listStyleType: circle;"><li style="">consultation</li></ol>
مشاية|مِشَّايِة	<ol style="listStyleType: circle;"><li style="">(a pair of) Slippers/ Flip-flops</li> <li style="">walker (like to help someone walk, and also a toy for a child just learning to walk) ;</li></ol>
مشايخ|مَشَايِخ	<ol style="listStyleType: circle;"><li style="">elders, notables                                                  ;(plural of the word شيخ);[pronunciation: mašāyeḵ]</li></ol>
مشايلة|مْشَايْلة	<ol style="listStyleType: circle;"><li style="">بيع المْشَايْلة : selling without measuring or weighing???</li></ol>
مشباط|مِشْبَاط	<ol style="listStyleType: circle;"><li style="">carpet beater, rug beater                                                                                                                                                                                                                                                                                          ; also referred to as a carpetbeater or rugbeater, mattenklopper, carpet whip, rug whip, clothes-beater, dust beater or dustbeater, carpet duster, wicker slapper, rug duster, or pillow fluffer, and formerly also as a carpet cleaner or rug cleaner; (مطرقة يُدقّ بها السجَّاد وخلافه);</li></ol>
مشبشب|مْشَبْشِب	<ol style="listStyleType: circle;"><li style="">(Feeling) youthful, energetic ;</li></ol>
مشبك|مشَبَّك	<ol style="listStyleType: circle;"><li style="">a sweet, like the Pakistani Jalebi, made by putting dough in an "interwoven" shape. It is generally done by make a thin, watery dough and then squeezing it into hot oil in the desired shape. Syrup (قطر) is then added to it                                                                        ; (حلوى من العجين يُسْكَب في قوالب متشابكة الأشكال، ويكون داخلها قَطْر);</li></ol>
مشبك|مْشَبَّك	<ol style="listStyleType: circle;"><li style="">woven, interwoven, plaited, twined                          ;[pronunciation: mºšabbak]</li></ol>
مشبوه|مَشبُوْه	<ol style="listStyleType: circle;"><li style="">suspect, suspicious (also مشبوه في )                                        [pronunciation: mašbūh،mašbūhīn،mašbūha]</li> <li style="">suspect</li></ol>
