#desc	English to Khmer Dictionary from <a href="https://play.google.com/store/apps/details?id=com.sonveasna.dictionary&hl=en">English Khmer Dictionary</a> by DroidSVS
#priority	2
#en	ipa	khph	desc	tags
pot-shot	’pɑtʃɑt	’ផត់ស្ហត់	<ul><li><p-n>(noun)</p-n><p-l> @ការបាញ់ដោយមិនតំរ៉ង </p-l><p-n>(Fig)</p-n><p-l> @បំណងព្រាវៗចំពោះអ្វីមួយ</p-l></li></ul>	noun
potable	’pəʊtəbl	’ផូថឹបល	<ul><li><p-n>(adjective)</p-n><p-l> @អាចផឹកបាន</p-l></li></ul>	adjective
potash	’pɑtæs	’ផត់ថែស្ហ	<ul><li><p-n>(noun)</p-n><p-l> @ទឹកក្បុង potash</p-l></li></ul>	noun
potassium	pə’tæsɪəm	ផឹ ’ថែសសៀម	<ul><li><p-n>(noun)</p-n><p-n>(Chem., symb.K)</p-n><p-l> @ប៉ូតាស្យ៉ូម</p-l></li></ul>	noun
potation	pəʊ’teɪʃn	ផូ ’ថេយ៍ស្ហឹន	<ul><li><p-n>(noun)</p-n>&nbsp;<p-l> @ដែលការផឹក</p-l></li></ul>	noun
potato	pə’teɪtəʊ	ផឹ ’ថេយ៍ថូ	<ul><li><p-n>(noun)</p-n><p-n>(pl. ~es)</p-n><p-l> @ដំឡូង </p-l>sweet potato<p-l> @ដំឡូងជ្វា</p-l> mashed potato<p-l> @ដំឡូងកិន</p-l> sweet potato<p-l> @ដំឡូងមី </p-l>potato masher<p-l> @ប្រដាប់កិនដំឡូងបារាំង</p-l> potato peeler<p-l> @ប្រដាប់បកដំឡូងបារាំង</p-l> potato trap<p-l> @សំដៅដល់មាត់</p-l></li><li>potatocrisp <p-n>(BrE, US potato chip = crip)</p-n><p-n>(noun)</p-n><p-l> @ចំណិតដំឡូងស្តើងបំពងខ្លាញ់</p-l></li></ul>	noun
poteen	pɑ’tiːn	ផក់ ’ធីន	<ul><li><p-n>(noun)</p-n><p-l> @ស្រាដែលធ្វើដោយមិនស្របច្បាប់</p-l></li></ul>	noun
potency	'pəʊtənsɪ	’ផូថឹនស៊ី	<ul><li><p-n>(noun)</p-n><p-n>(pl. -cies)</p-n><p-l> @អំណាច, កំលាំង</p-l></li></ul>	noun
potent	’pəʊtənt	’ផូថឹនថ៍	<ul><li><p-n>(adjective)</p-n>~ drug<p-l> @ខ្លាំង</p-l><br/> ~ reason<p-l> @ដែលគួរអោយជឿ</p-l><br/> ~ male<p-l> @ដែលអាចសេពមេថុនបាន (ប្រុស) </p-l></li><li>potency /'pəʊtənsɪ/<p-l> @[&rsquo;ផូថឹនស៊ី]</p-l> <p-n>(noun)</p-n><p-n>(pl. -cies)</p-n><p-l> @អំណាច, កំលាំង</p-l></li></ul>	adjective
potentate	’pəʊtnteɪt	’ផូថន៍ថេត	<ul><li><p-n>(noun)</p-n><p-l> @ព្រះមហាក្សត្រអគ្គធិបតេយ្យ, រាជានិយមផ្តាច់ការ</p-l></li></ul>	noun
potential	pə’tenʃl	ផឹ ’ថេនស្ហឹល	<ul><li><p-n>(adjective)</p-n><p-l> @សក្តានុភូត, ដែលអាច, ដែលមានសក្តានុពល </p-l></li></ul>SYNONYMS<ul><li>possible,</li><li>potential /pə&rsquo;tenʃl/<p-l> @[ផឹ &rsquo;ថេនស្ហឹល]</p-l><br/> <p-n>(noun)</p-n>power ~<p-l> @អ្វីៗដែលអាចយកប្រើប្រាស់បាន </p-l><p-n>(Lit)</p-n><p-l> @សក្តានុពល </p-l><br/>He has a lot of ~<p-l> @ភាពដែលអាចធ្វើអ្វីមួយទៅបាន</p-l> earing potential<p-l> @សក្តានុពលខាងចំណូល </p-l></li></ul>	adjective
potential	pə’tenʃl	ផឹ ’ថេនស្ហឹល	<ul><li><p-n>(noun)</p-n>power ~<p-l> @អ្វីៗដែលអាចយកប្រើប្រាស់បាន </p-l><p-n>(Lit)</p-n><p-l> @សក្តានុពល </p-l><br/>He has a lot of ~<p-l> @ភាពដែលអាចធ្វើអ្វីមួយទៅបាន</p-l> earing potential<p-l> @សក្តានុពលខាងចំណូល </p-l></li></ul>	noun
potentiality	ˌpətenʃɪ’ælɪtɪ	ˌផឹថេនស្ហឹ ’អ៊ែលិធី	<ul><li><p-n>(noun)</p-n><p-l>@<ol><li>សក្តានុពល ២</p-l></li></ol></li><li><p-n>(pl)</p-n><p-l> @កំលាំងប្រជ្ញា, បញ្ញាឬទ្ធិ ៣</p-l></li><li><p-n>(pl)</p-n><p-l> @លទ្ធភាព</p-l></li></ul>	noun
potentially	pə'tenʃəlɪ	ផឹ ’ថេនស្ហឹលី	<ul><li><p-n>(adverb)</p-n><p-l> @ដ៏មានសក្តានុពល</p-l></li><li>potential difference /ˌpətəʃl&rsquo;dɪfərəns/<p-l> @[ˌផឹថឹស្ហឹល &rsquo;ឌីហ្វីរ៉ឹនស៍]</p-l> <p-n>(noun)</p-n><p-l> @ភាពប្លែកផ្សេងពីគ្នា</p-l></li></ul>	adverb
pothunting	’pɑt hʌntə(r)	’ផត់ ’ហាន់ថឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @ការបាញ់សត្វ</p-l></li></ul>	noun
potion	’pəʊʃn	ផូស្ហឹន	<ul><li><p-n>(noun)</p-n><p-l> @ឪសថទឹក</p-l></li></ul>	noun
potserd (also potshard)	’pɑtʃɜːd	’ផត់ស្ហឹដ	<ul><li><p-n>(noun)</p-n><p-l> @បំណែកគ្រឿងក្អមឬឆ្នាំងពាង</p-l></li></ul>	noun
potted	’pɑtɪd	’ផត់ធីដ	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលដាំឬរក្សាទុកក្នុង </p-l><br/>~ history<p-l> @ក្នុងទំរងងាយហើយខ្លី</p-l></li></ul>	adjective
potter (1)	’pɑtə(r)	’ផត់ថឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @ស្មូនឆ្នាំង </p-l><p-n>(Lit)</p-n><p-l> @កុម្ភការី </p-l>potter about<p-l> @ដើររេរាទៅមក </p-l></li><li>pottery /&rsquo;pɑtərɪ/<p-l> @[&rsquo;ផត់ថឹរី] </p-l><br/><p-n>(noun)</p-n>make ~<p-l> @គ្រឿងក្អមឆ្នាំពាង</p-l> <p-n>(Lit)</p-n>&nbsp;<p-l> @កុម្ភការភណ្ឌ</p-l><br/> a course in ~<p-l> @សិល្បះស្មូនឆ្នាំង</p-l></li></ul>	noun
potter (2)	’pɑtə(r)	’ផត់ថឹ(រ)	<ul><li><p-n>(transitive., iv)</p-n><p-l> @ធ្វើការលេងៗ, ធ្វើការម៉េះម៉ោះ</p-l></li></ul>	
pottery	’pɑtərɪ	’ផត់ថឹរី	<ul><li><p-n>(noun)</p-n>make ~<p-l> @គ្រឿងក្អមឆ្នាំពាង</p-l> <p-n>(Lit)</p-n>&nbsp;<p-l> @កុម្ភការភណ្ឌ</p-l><br/> a course in ~<p-l> @សិល្បះស្មូនឆ្នាំង</p-l></li></ul>	noun
potty (1)	’pɑtɪ	’ផត់ធី	<ul><li><p-n>(adjective)</p-n><p-n>(-ier, -iest)</p-n><p-l> @ឆ្កួត</p-l></li></ul>	adjective
potty (2)	’pɑtɪ	’ផត់ធី	<ul><li><p-n>(noun)</p-n><p-l> @បង្គន់សម្រាប់បង្ហាត់កូនក្មេងអោយបត់ជើង</p-l></li></ul>	noun
pouch	paʊtʃ	ផៅធ៍	<ul><li><p-n>(noun)</p-n><p-l> @ថង់ </p-l><br/>mail ~<p-l> @ការរ៉ុង, បាវ </p-l>tobacco pouch<p-l> @ស្បោងថ្នាំសម្រាប់ដាក់ថ្នាំជក់</p-l></li><li>pouch <p-n>(transitive verb)</p-n><p-l> @ដាក់ក្នុងថង់</p-l></li></ul>	transitive verb
pouch	paʊtʃ	ផៅធ៍	<ul><li>&nbsp;<p-n>(transitive verb)</p-n><p-l> @ដាក់ក្នុងថង់</p-l></li></ul>	transitive verb
pouffe (also pouf)	puːf	ផូហ្វ៍	<ul><li><p-n>(noun)</p-n><p-l> @មួកកន្តឹបស្រី</p-l></li></ul>	noun
poulterer	’pəʊltərə(r)	’ភូលថឹថ៉ឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកលក់បសុបក្សីនិងសត្វប្រមាញ់</p-l></li></ul>	noun
poultry	’pəʊltrɪ	’ភូលធ្រី	<ul><li><p-n>(noun)</p-n><p-l> @បសុបក្សី (មាន់, ទា, ក្ងាន​។ល។)</p-l></li></ul>	noun
pounce	pɑʊns	ផោនស៍	<ul><li><p-n>(intransitive verb., tv)</p-n>~ <p-n>(on sb/sth)</p-n><p-l> @លោតសង្គ្រាប់, សង្គ្រប់លើ</p-l></li><li>pounce <p-n>(noun)</p-n><p-l> @ការសង្គ្រប់លើ</p-l></li></ul>	noun
pounce	pɑʊns	ផោនស៍	<ul><li><p-n>(noun)</p-n><p-l> @ការសង្គ្រប់លើ</p-l></li></ul>	noun
pound (1)	pɑʊnd	ផោនដ៍	<ul><li><p-n>(transitive verb)</p-n>~ the door<p-l> @គោះឬវាយ៉ាងខ្លាំង</p-l><br/> ~ meat<p-l> @ដំ </p-l><br/>~ corn<p-l> @បុក </p-l>pound in <p-n>(a stake)</p-n><p-l> @បោះ, ដំបញ្ជូល</p-l> pound away at the job<p-l> @ចូលខំធ្វើការ​</p-l> claim one's pound of flesh<p-l> @ទារបំណុលដែលជំពាក់ </p-l>iv.<p-l> @<ol><li>បុក, បោក, ទង្គិច </p-l>pound on <p-n>(a door)</p-n><p-l> @គោះ, វាយ ២</p-l></li></ol></li><li>hearts ~<p-l> @ដើរយ៉ាងខ្លាំង </p-l><br/>drums ~<p-l> @បន្លឺសូរយ៉ាងខ្លាំង </p-l>pound at/on/against<p-l> @វាយផ្ទួនៗទៅលើ</p-l></li></ul>	transitive verb
pound (2)	pɑʊnd	ផោនដ៍	<ul><li><p-n>(noun)</p-n><ol><li> ~ of meat<p-l> @រង្វាស់ទម្ងន់អង់គ្លេស (០,៤៥៣គ.ក) ២</p-l></li></ol></li><li><p-n>(Fin)</p-n>Britich ~<p-l> @លីវ្រ៍ (រូបិយវត្ថុអង់គ្លេស)</p-l></li></ul>	noun
pound (3)	pɑʊnd	ផោនដ៍	<ul><li><p-n>(noun)</p-n><p-l> @មន្ទីររបើស</p-l> -tv. <p-l>@ដាក់ក្នុងមន្ទីររបើស</p-l></li></ul>	noun
poundage	’pɑʊndɪdʒ	’ផោនដ៍ដ្យ	<ul><li><p-n>(noun)</p-n><p-l> @ពន្ធចំពោះមួយផោន, ថ្លៃឈ្នួលក្នុងទំងន់មួយផោន, ពន្ធក្នុងតម្លៃមួយផោន</p-l></li></ul>	noun
pounder	’pɑʊndə(r)	’ផោនដឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @ប្រដាប់បុក</p-l></li></ul>	noun
pour	pɔː(r)	ផ(រ)	<ul><li><p-n>(transitive verb)</p-n><p-l>@<ol><li>ឆុង, ស្រោច, បង្ហូរ</p-l><br/> ~ water <p-l>@សិត, ចាក់ </p-l><br/>~ salt<p-l> @ចាក់ </p-l>pour out<p-l> @ចាក់ចេញ </p-l><br/>rivers ~ their water into the ocean<p-l> @ហូរចាក់</p-l> <p-n>(Fig)</p-n><p-l> @ផ្តល់អោយច្រើនឬបំពេញ ២</p-l></li></ol></li><li><p-l>@(ប្រើជាមួយ </p-l>down, out, forth<p-l>@). រ៉ាយរ៉ាប់, រៀបរាប់, និទាន, បញ្ចេញយ៉ាងងាយ ៣</p-l></li><li><p-n>(Fig)</p-n><p-l> @សំរុកចូល​, ពពាក់ពពូន, ប្រជ្រៀតចូល </p-l>-iv. <p-n>(water)</p-n>pours <p-n>(through the channel)</p-n><p-l> @ហូរ </p-l><br/>rains ~<p-l> @ធ្លាក់ខ្លាំង, ធ្លាក់ដូចគេចាក់ទឹក</p-l><br/> people ~ into town<p-l> @នាំគ្នាទៅទាំងហ្វូង</p-l> pour with tain<p-l> @ភ្លៀងបង្អុរចុះមក </p-l>pour oil on troubled water<p-l> @រំងាប់ភាពលំបាក </p-l>pour out one's heart<p-l> @បន្ធូរអារម្មណ៍ក្នុងចិត្ត </p-l>pour oil on the flame<p-l> @ចាក់ប្រេងទៅលើភ្លើង, ធ្វើអោយស្ថានការណ៍កាន់តែអាក្រក់ឡើង</p-l></li></ul>	transitive verb
pout	paʊt	ផោតថ៍	<ul><li><p-n>(intransitive verb)</p-n>children ~<p-l> @ក្និកក្នក់ </p-l><br/>lipe ~<p-l> @ឡើងច្របូញ</p-l></li><li>pout <p-n>(noun)</p-n>~ of the lips<p-l> @ដំណើរឡើងច្របូញ</p-l><br/> be in a ~<p-l> @ការកិកកក់</p-l></li></ul>	intransitive verb
pout	paʊt	ផោតថ៍	<ul><li><p-n>(noun)</p-n>~ of the lips<p-l> @ដំណើរឡើងច្របូញ</p-l><br/> be in a ~<p-l> @ការកិកកក់</p-l></li></ul>	noun
poutingly	’paʊtɪŋlɪ	’ផោតធីងលី	<ul><li><p-n>(adverb)</p-n><p-l> @ដោយអាការះពេបមាត់</p-l></li></ul>	adverb
poverty	’pɑvətɪ	’ផក់វ៉ឹធី	<ul><li><p-n>(noun)</p-n>condition of ~<p-l> @ភាពក្រ </p-l><br/>~ of ideas<p-l> @ភាពមិនសូវសម្បូរ, ភាពខ្វះនូវ </p-l><br/>~ of the soil<p-l> @ភាពគ្មានជីវជាតិ</p-l> poverty eradication<p-l> @ការលុបបំបាត់ភាពក្រខ្សត់ </p-l>povertyfocused banks<p-l> @ធនាគារដែលគិតគូរទៅលើភាពក្រខ្សត់</p-l></li><li>poverty-lone<p-l> @/&rsquo;pɑvətɪlaɪn/ [&rsquo;ផក់វ៉ឹធីឡាយន៍] </p-l><p-n>(noun)</p-n><p-l> @កំរិតចំនូលទាបបំផុត</p-l></li></ul>	noun
poverty-stricken	ˌpɑvətɪ’strɪkən	ˌផក់វ៉ឹធី’ស្ទ្រិខឹន	<ul><li><p-n>(adjective)</p-n><p-l> @ក្រលំបាក, តោកយ៉ាក</p-l></li></ul>SYNONYMS<ul><li>poverty /ˌpɑvətɪ/<p-l> @[ˌផក់វ៉ឹធី]</p-l> <p-n>(noun)</p-n><p-l> @ភាពក្រ </p-l>destitution<p-l> @ការខ្វះខាត, ការក្រខ្សត់</p-l> impecuniousness<p-l> @ភាពក្រខ្សត់, ភាពទាល់ក្រ </p-l>impoverishment<p-l> @ការធ្វើអោយចុះក្រ, ភាពលិចលង់, ភាពរិចរិល </p-l>indigence<p-l> @ទលិទ្ធភាព, ភាពខ្សត់, ភាពទុគ៏ត </p-l>need<p-l> @សេចក្តីត្រូវការ, ការចាំបាច់</p-l> neediness<p-l> @ភាពក្រខ្សត់ </p-l>penury<p-l> @ភាពក្រខ្សត់ក្រៃលែង, ការខ្វះ, ភាពក្រ</p-l> privation<p-l> @ដំណើរខ្វះ, ដំណើរច្រាសចាក, ការអត់, ការតម, ការខ្វះខាត, ការមិនបានដូចបំណង </p-l>want<p-l> @សេចក្តីត្រូវការ, ការខ្វះខាត </p-l>for want of<p-l> @ត្រូវការ</p-l> in want of<p-l> @ដោយគ្មាន។</p-l></li></ul>	adjective
POW	ˌpiːəʊ’dʌbljuː	ˌភីអូ’ដាប់បលយូ	<ul><li><p-n>(abbr)</p-n>Prisoner Of War<p-l> @អ្នកឈ្លើយសង្គ្រាម</p-l></li></ul>	transitive verb
powder	’paʊdəd	’ផៅដឹដ	<ul><li><p-n>(adjective)</p-n>.<p-l> @ដែលលាបម្សៅ</p-l></li></ul>	noun
powder	’paʊdə(r)	’ផៅដឺ(រ)	<ul><li><p-n>(noun)</p-n><p-l>@<ol><li>ម្សៅទូទៅ </p-l><br/>face ~<p-l> @ម្សៅ</p-l> gun powder<p-l> @រំសេវ</p-l> deodorant powder<p-l> @ម្សៅរម្ងាប់ក្លិន </p-l>powder<p-l> @ដីចូលត្រចៀក</p-l> tooth powder<p-l> @ម្សៅថ្នាំដុះធ្មេញ ២</p-l></li></ol></li><li><p-l>@ឪសថ ៣</p-l></li><li><p-l>@ម្សៅសម្រាប់តុបតែងប្រាណ </p-l>not worth powder and shot<p-l> @មិនសក្តិសមដែលនឹងត្រូវចំណាយ</p-l></li><li>powder <p-n>(transitive verb)</p-n>~ one's face<p-l> @លាបម្សៅ, ផាត់ម្សៅ</p-l><br/> ~ with sugar<p-l> @រោយ </p-l><br/>~ salt<p-l> @កិនអោយម៉ដ្ឋ​</p-l> iv.<p-l> @ឡើងម៉ដ្ឋ</p-l> powder compact<p-l> @ផ្អាប់ម្សៅ</p-l></li></ul>	noun
powder	’paʊdə(r)	’ផៅដឺ(រ)	<ul><li><p-n>(transitive verb)</p-n>~ one's face<p-l> @លាបម្សៅ, ផាត់ម្សៅ</p-l><br/> ~ with sugar<p-l> @រោយ </p-l><br/>~ salt<p-l> @កិនអោយម៉ដ្ឋ​</p-l> iv.<p-l> @ឡើងម៉ដ្ឋ</p-l> powder compact<p-l> @ផ្អាប់ម្សៅ</p-l></li></ul>	transitive verb
powder room			<ul><li><p-n>(noun)</p-n><p-l> @បន្ទប់លប់់លាង (ស្រ្តី)</p-l></li></ul>	noun
powder-keg	’paʊdəkeg	’ផៅដឹខេហ្ដ៍	<ul><li><p-n>(noun)</p-n><p-l> @ធុងលោហះសម្រាប់ដាក់រំសេវ </p-l><p-n>(Fig)</p-n><p-l> @ស្ថានភាពប្រកបដោយគ្រោះថ្នាក់</p-l></li></ul>	noun
powder-magazine	ˌpaʊdə’mægəziːn	ˌផៅដឹ ’ម៉ែហ្កឹហ្ស៊ីន	<ul><li><p-n>(noun)</p-n><p-l> @រោងផ្ទុករំសេវកាំភ្លើង</p-l></li></ul>	noun
powder-puff	’paʊdəpʌf	’ផោដឹផាហ្វ	<ul><li><p-n>(also puff)</p-n><p-n>(noun)</p-n><p-l> @ក្រណាត់ផ្អាប់ម្សៅ</p-l></li></ul>	noun
powdered	’pɑʊdəd	’ផៅដឹដ	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលលាបម្សៅ</p-l></li></ul>	adjective
powdery	’paʊdərɪ	’ផៅដឹរី	<ul><li><p-n>(adjective)</p-n>~ snow<p-l> @ដូចម្សៅ </p-l><br/>~ nose<p-l> @ប្រលាក់ម្សៅ</p-l></li></ul>	adjective
power	’paʊə(r)	’ផៅអឹ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @<ol><li>សមត្ថភាព</p-l><br/> mechanical ~<p-l> @កម្លាំង</p-l> <p-n>(Lit)</p-n><p-l> @ពលានុភាព </p-l><br/>political ~<p-l> @អំណាច (mental) power អានុភាព (party) in power កំពុងកាន់កាប់អំណាច</p-l> a world power<p-l> @មហាអំណាច២</p-l></li></ol></li><li><p-n>(Math)</p-n><p-l> @លទ្ធផល, ផលគុណ </p-l>to the&nbsp; 4th<p-l> @ស្វ័យគុណ </p-l>a low power microscope<p-l> @ប្រដាប់អតិសុខុមទស្សន៍ </p-l>electrice power<p-l> @ថាមពលអគ្គីសនី </p-l>air power<p-l> @កំលាំងផ្នែកអាកាស</p-l> No power,no respect<p-l> @មិនមានអំណាច, មនុស្សក៏មិននរាប់អាន </p-l>power behind the throne<p-l> @អំណាចក្រោយបល្ល័ង្ក</p-l> the powers that be<p-l> @អ្នកសោយអំណាច </p-l>administering power<p-l> @មហាអំណាចអ្នកគ្រប់គ្រងផែនដី&nbsp;</p-l> The Great power<p-l> @មហាអំណាចមហាប្រទេស </p-l>in power<p-l> @កំពុងមានអំណាច</p-l> love power<p-l> @ការចង់បានអំណាច </p-l>purchasing power<p-l> @អំណាចទិញ </p-l>executive power<p-l> @សិទ្ធិប្រតិបត្តិ </p-l>power of attorney<p-l> @លិខិតប្រគល់អំណាច, សិទ្ធិប្រទាន</p-l> power tiller<p-l> @ម៉ាស៊ីនភ្ជួរដី </p-l>in power<p-l> @កំពុងកាន់អំណាច, ក្នុងអំណាច </p-l>borrowing power<p-l> @កំលាំងខ្ខី, ចំនួនទឹកប្រាក់ដែលអាចខ្ចីបាន</p-l> earning power<p-l> @សមត្ថភាពរកចំណូល </p-l>executive power<p-l> @អំណាចប្រតិបត្តិ</p-l> full power of law<p-l> @អំណាចច្បាប់ពេញលេញ</p-l> nuclear&nbsp; / economic power<p-l> @មហាអំណាចនុយក្លេអ៊ែរឬសេដ្ឋកិច្ច </p-l>military power<p-l> @កំលាំងទ័ពជើងគោក </p-l>power of darkness<p-l> @អំណាចខ្មោចព្រាយបិសាច</p-l> naval power<p-l> @មហាអំណាចផ្នែកសមុទ្រ </p-l>beyond the power of children<p-l> @ហួសពីសមត្ថភាពរបស់ក្មេង</p-l> come into power<p-l> @ឡើងកាន់អំណាច </p-l>do all in one's power<p-l> @ធ្វើទៅតាមដែលមានអំណាច </p-l>have no power&nbsp; over<p-l> @អត់មានឥទ្ធិពល </p-l>more power to your elbow<p-l> @សូមអោយមានជោគជ័យក្នុងការព្យាយាម </p-l>milaculous powers<p-l> @ឥទ្ធិរិទ្ធ </p-l>with full powers<p-l> @មានអំណាចពេញលេញ </p-l>power station / plant<p-l> @រោងចក្រថាមពលអគ្គីសនី</p-l><br/> -tv. ~ a car<p-l> @ធ្វើអោយដើរ</p-l><br/> -adj. ~ saw <p-l>@ដែលមានម៉ាស៊ីន</p-l> </li><li>powered /&rsquo;paʊəd/​<p-l> @[&rsquo;ផៅអឹដ] </p-l><p-n>(noun)</p-n><p-l> @ដែលប្រដាប់ដោយថាមពលមេកានិច </p-l></li><li>power-boat /ˌpaʊə&rsquo;bəʊt/<p-l> @[ˌផៅអឹ &rsquo;បោតថ៍] </p-l><p-n>(noun)</p-n><p-l> @ការណូត</p-l> </li></ul>	noun
power cut			<ul><li><p-n>(noun)</p-n><p-l> @ការដាច់ចរន្តអគ្គីសនី, ការរអាក់រអួលផ្នែកចរន្តអគ្គីសនី</p-l></li></ul>	noun
power dive	’paʊədaɪv	’ផៅអឹដាយវ៍	<ul><li><p-n>(noun)</p-n><p-l> @ការដាំក្បាល (យន្តហោះ) </p-l>-tv.<p-l> @ដាំក្បាល, បោះពួយ, (យន្តហោះ)</p-l></li></ul>	noun
power of acceptence			<ul><li><p-n>(noun)</p-n><p-l> @អំណាចស្តីការ</p-l></li></ul>	noun
power of appointment			<ul><li><p-n>(noun)</p-n><p-l> @អំណាចតែងតាំង</p-l></li></ul>	noun
power of attorney			<ul><li><p-n>(noun)</p-n><p-l> @លោខិតប្រគល់សិទ្ធិអំណាច</p-l></li></ul>	noun
power-point	’paʊəpəɪnt		<ul><li><p-n>(noun)</p-n><p-l> @ឌូយនៅតាមជញ្ជាំង</p-l></li></ul>	noun
power-station	’paʊəsteɪʃn	’ផៅអឹស្តេយស្ហឹន	<ul><li><p-n>(US' power plant)</p-n><p-n>(noun)</p-n><p-l> @រោងចក្រអគ្គីសនី</p-l></li></ul>	noun
powered	’paʊəd	’ផៅអឹដ	<ul><li><p-n>(noun)</p-n><p-l> @ដែលប្រដាប់ដោយថាមពលមេកានិច</p-l></li></ul>	noun
powerful	’paʊəfʊl	’ផៅអឹហ្វ៊ូល	<ul><li><p-n>(adjective)</p-n>~ machine<p-l> @ខ្លាំង</p-l><br/> ~ official<p-l> @ដែលមានអំណាច </p-l><br/>~ drug<p-l> @ខ្លាំង </p-l><br/>~ speech<p-l> @ដែលធ្វើអោយរំភើប </p-l>powerful microscope<p-l> @ម៉ាស៊ីនដែលមានកំលាំងពង្រីក</p-l></li><li>powerfully /&rsquo;paʊəfʊlɪ/<p-l> @[&rsquo;ផៅអឹហ្វ៊ូលលី] </p-l><p-n>(adverb)</p-n><p-l> @ដោយតេជះ, ដោយអនុភាព</p-l></li></ul>	adjective
powerfully	’paʊəfʊlɪ	’ផៅអឹហ្វ៊ូលលី	<ul><li><p-n>(adverb)</p-n><p-l> @ដោយតេជះ, ដោយអនុភាព</p-l></li></ul>	adverb
powerhouse	’paʊəhaʊs		<ul><li><p-n>(noun)</p-n>.<p-l> @រោងចក្រអគ្គីសនី</p-l></li></ul>	noun
powerless	'paʊəlɪs	ˈផៅអឹលីស	<ul><li><p-n>(adjective)</p-n>.<p-l> @អត់មានអំណាច, គ្មានឥតទ្ធិពល, គ្មានកំលាំង, ខ្សោយ</p-l></li></ul>SYNONYMS<ul><li>helpless </li><li>powerlessly <p-n>(adverb)</p-n><p-l> @ដោយគ្មានឥទ្ធិពល</p-l> powerlessness /&rsquo;paʊəlɪsnɪs/<p-l> @[&rsquo;ផៅអឹលិសនីស]</p-l> <p-n>(noun)</p-n><p-l> @ភាពអត់មានអំណាច, ភាពគ្មានឥទ្ធិពល</p-l></li></ul>	adjective
powerlessly	'paʊəlɪs	ˈផៅអឹលីស	<ul><li><p-n>(adverb)</p-n><p-l> @ដោយគ្មានឥទ្ធិពល</p-l> powerlessness /&rsquo;paʊəlɪsnɪs/<p-l> @[&rsquo;ផៅអឹលិសនីស]</p-l> <p-n>(noun)</p-n><p-l> @ភាពអត់មានអំណាច, ភាពគ្មានឥទ្ធិពល</p-l></li></ul>	adverb
powwow	’paʊwaʊ	’ផៅរ៉ៅ	<ul><li><p-n>(noun)</p-n><p-l>@<ol><li>សន្និសីទនៃជនជាតិឥណ្ឌាអាមេរិកខាងជើង ២</p-l></li></ol></li><li><p-l>@សន្និសិទពិភាក្សាណាមួយ</p-l></li><li>powwow <p-n>(intransitive verb)</p-n><p-l> @ប្រជុំពិភាក្សា </p-l>powwow <p-n>(about sth)</p-n><p-l> @មានការពិភាក្សា</p-l></li></ul>	intransitive verb
powwow	’paʊwaʊ	’ផៅរ៉ៅ	<ul><li>&nbsp;<p-n>(intransitive verb)</p-n><p-l> @ប្រជុំពិភាក្សា </p-l>powwow <p-n>(about sth)</p-n><p-l> @មានការពិភាក្សា</p-l></li></ul>	intransitive verb
pox	pɑks	ផក់ស៍	<ul><li><p-n>(noun)</p-n></li></ul>SYNONYMS<ul><li>syphilis;<p-l> @អុត</p-l></li></ul>IDIOM<ul><li>French pox<p-l> @ស្វាយ​(រោគ)</p-l></li></ul>	noun
practicability	ˌpræktɪkə’bɪlətɪ	ˌភ្រែកធិខឹ ’ប៊ីឡឹធី	<ul><li><p-n>(noun)</p-n><p-l> @ការដែលអនុវត្តន៍តាមបាន</p-l> practicably /&rsquo;pr&aelig;ktɪəblɪ/<p-l> @[&rsquo;ភ្រែកថៀប្ល៊ី] </p-l><p-n>(adverb)</p-n><p-l> @ដោងាយអនុវត្តន៍ឬដោយងាយស្រួលប្រើ</p-l></li></ul>	noun
practicable	’præktɪbəbl	’ភ្រែកធិខឹបល	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលអាចនឹងធ្វើទៅបាន, ដែលអាចសម្រេចបាន</p-l></li></ul>SYNONYMS<ul><li>peasible;</li><li>practicability /ˌpr&aelig;ktɪkə&rsquo;bɪlətɪ/<p-l> @[ˌភ្រែកធិខឹ &rsquo;ប៊ីឡឹធី] </p-l><p-n>(noun)</p-n><p-l> @ការដែលអនុវត្តន៍តាមបាន</p-l> practicably /&rsquo;pr&aelig;ktɪəblɪ/<p-l> @[&rsquo;ភ្រែកថៀប្ល៊ី] </p-l><p-n>(adverb)</p-n><p-l> @ដោងាយអនុវត្តន៍ឬដោយងាយស្រួលប្រើ</p-l></li></ul>	adjective
