demes	<p-n>adj</p-n> pipih (tentang hidung); pesek:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Hidung demes, pipi tembam</div></div>
demi	<p-n>prep</p-n> <ol><li>untuk (kepentingan):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia menghentikan kebiasaan merokok, demi kesehatannya</div></div><br></li><li>lepas; per:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">satu demi satu (seorang demi seorang) para tamu memberi selamat kepada kedua mempelai</div></div><br></li><li>tatkala; pada ketika; segera setelah:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia berteriak kegirangan demi membaca namanya tercantum di papan pengumuman</div></div><br></li><li>atas nama (Tuhan, untuk bersumpah):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">demi Allah saya tidak melakukan hal itu</div></div><br></li><li><div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>sebagai; seperti (untuk membandingkan):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">suaranya merdu demi buluh perindu</div></div><br></li></ol>
demikianlah	@demikian	<p-n>verb</p-n> <p-n>no-gloss</p-n> 
demiliterisasi	<p-n>noun</p-n> <ol><li>berhentinya proses militerisasi; pembebasan dari ikatan atau dari sifat-sifat kemiliteran<br></li><li>pembebasan (suatu daerah) dari kekuasaan atau pendudukan militer<br></li></ol>
demineralisasi	<p-n>noun</p-n> berhentinya proses mineralisasi:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">tulang-tulangnya mengalami demineralisasi dan lebih mudah patah</div></div>
demisioner	<p-n>noun</p-n> keadaan tanpa kekuasaan (misal suatu kabinet dsb. yang telah mengembalikan mandat kepada kepala negara, tetapi masih melaksanakan tugas sehari-hari sambil menunggu dilantiknya kabinet yang baru)
demo	<p-n>noun</p-n> <ol><li><p-n>archaic</p-n> kendaraan bermotor beroda tiga (hampir sama dengan bemo)<br></li><li><p-n>acronym</p-n> demonstrasi<br></li></ol>
demobilisan	<p-n>noun</p-n> anggota tentara (yang dikerahkan dalam masa perang) yang telah dibebaskan dari tugas militer setelah perang selesai
demobilisasi	<p-n>noun</p-n> pembebasan dari tugas militer bagi tentara (yang dikerahkan pada masa perang) setelah perang selesai
demograf	<p-n>noun</p-n> ahli kependudukan
demografi	<p-n>noun</p-n> ilmu tentang susunan, jumlah, dan perkembangan penduduk; ilmu yang memberikan uraian atau gambaran statistik mengenai suatu bangsa dilihat dari sudut sosial politik; ilmu kependudukan
demografi bahasa	<p-n>noun</p-n> penyelidikan tentang pelbagai kelompok pemakai bahasa dan variasi bahasa dalam suatu masyarakat bahasa dengan mempergunakan statistik, dan penggolongannya berdasarkan faktor kelas sosial, agama, umur, tempat, pendidikan, dsb
demografis	<p-n>adj</p-n> bersifat (secara, menurut, berdasarkan) demografi
demokrasi	<p-n>noun</p-n> <ol><li>(bentuk atau sistem) pemerintahan yang seluruh rakyatnya turut serta memerintah dengan perantaraan wakilnya; pemerintahan rakyat<div class="tags"><b>politics</b></div><br></li><li>gagasan atau pandangan hidup yang mengutamakan persamaan hak dan kewajiban serta perlakuan yang sama bagi semua warga negara<div class="tags"><b>politics</b></div><br></li></ol>
demokrasi absolut	<p-n>noun</p-n> bentuk demokrasi yang memberikan kekuasaan tertinggi secara langsung kepada rakyat<div class="tags"><b>politics</b></div>
demokrasi ekonomi	<p-n>noun</p-n> gagasan atau pandangan hidup yang mengutamakan persamaan hak dan kewajiban, dan perlakuan bagi semua warga negara dalam bidang ekonomi
demokrasi formal	<p-n>noun</p-n> corak pemerintahan yang semata-mata dilihat dari ada atau tidaknya lembaga politik demokrasi seperti perwakilan rakyat
demokrasi langsung	<p-n>noun</p-n> corak pemerintahan demokrasi yang dilakukan secara langsung oleh semua warga negara, misal dalam membuat keputusan politik
demokrasi liberal	<p-n>noun</p-n> sistem politik dengan banyak partai, kekuasaan politik berada di tangan politisi sipil yang berpusat di parlemen; demokrasi parlementer
demokrasi material	<p-n>noun</p-n> corak pemerintahan yang menjamin kemerdekaan dan persamaan, misal kemerdekaan berpikir dan mengeluarkan pendapat, kemerdekaan berapat dan berkumpul, kemerdekaan mengatur diri sendiri yang dilandasi corak pemerintahan
demokrasi Pancasila	<p-n>noun</p-n> demokrasi yang berdasarkan sila Pancasila yang dilihat sebagai suatu keseluruhan yang utuh
demokrasi perwakilan	<p-n>noun</p-n> bentuk demokrasi dengan kekuasaan tertinggi yang dijalankan melalui sistem perwakilan<div class="tags"><b>politics</b></div>
demokrasi plutokrat	<p-n>noun</p-n> sistem demokrasi yang dikuasai oleh orang yang kaya atau bermodal
demokrasi politik	<p-n>noun</p-n> sistem politik yang ditandai dengan berfungsinya lembaga legislatif, eksekutif, yudikatif yang secara relatif bersifat otonom
demokrasi terpimpin	<p-n>noun</p-n> corak pemerintahan yang untuk pertama kali diumumkan secara resmi di dalam pidato Presiden Soekarno pada tanggal 10 November 1956 ketika membuka Konstituante, yaitu corak demokrasi yang mengenal satu pemimpin menuju tujuan suatu masyarakat yang berkeadilan sosial
demokrasi tidak langsung	<p-n>noun</p-n> corak pemerintahan demokrasi yang dilakukan melalui badan perwakilan rakyat yang dipilih oleh rakyat dan bertanggung jawab kepada rakyat (warga negara diberi hak turut serta menentukan keputusan politik melalui badan perwakilan rakyat)
demokrasikan	<p-n>verb</p-n> bentuk transitif dari mendemokrasikan<div class="form_of">Form of: mendemokrasikan</div>
demokrasikanlah	<p-n>verb</p-n> bentuk imperatif dari demokrasikan<div class="form_of">Form of: demokrasikan</div>
demokrat	<p-n>noun</p-n> penganut (pengikut) paham demokrasi
demokratis	<p-n>adj</p-n> bersifat demokrasi; berciri demokrasi:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Sebagian warga desa tidak puas dengan tata cara pemilihan kepala desa yang tidak demokratis</div></div>
demokratisasi	<p-n>noun</p-n> pendemokrasian
demon	<p-n>noun</p-n> <ol><li>makhluk atau roh yang jahat; hantu; setan<br></li><li>orang yang bengis, tidak mengenal belas kasihan<br></li></ol>
demoniak	<p-n>noun</p-n> orang yang dikuasai (dipengaruhi) oleh setan
demonopolisasi	<p-n>noun</p-n> usaha penghapusan monopoli:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Dia melontarkan ide demonopolisasi dalam RUU Migas</div></div>
demonstran	<p-n>noun</p-n> orang yang berdemonstrasi; pelaku demonstrasi<br><div>Synonyms: <p-a>demonstrator</p-a></div>
demonstrasi	<p-n>noun</p-n> <ol><li>pernyataan protes yang dikemukakan secara massal; unjuk rasa:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">mereka berbondong-bondong mengadakan demonstrasi menentang percobaan nuklir</div></div><br></li><li>peragaan atau pertunjukan tentang cara melakukan atau mengerjakan sesuatu:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">demonstrasi pencak silat perlu diadakan guna memperoleh bibit-bibit pesilat yang baik</div></div><br></li></ol>
demonstrasikan	<p-n>verb</p-n> bentuk transitif dari mendemonstrasikan<div class="form_of">Form of: mendemonstrasikan</div>
demonstrasikanlah	<p-n>verb</p-n> bentuk imperatif dari demonstrasikan<div class="form_of">Form of: demonstrasikan</div>
demonstratif	<p-n>adj</p-n> bersifat mempertunjukkan (mempertontonkan) secara mencolok:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pihak oposisi meninggalkan ruang sidang secara demonstratif</div></div>
demonstrativa	<p-n>noun</p-n> kata yang berfungsi untuk menunjuk atau menandai secara khusus orang atau benda, misal ini dan itu<div class="tags"><b>linguistics</b></div>
demoralisasi	<p-n>noun</p-n> kemerosotan akhlak; kerusakan moral:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Demoralisasi di kalangan remaja memprihatinkan semua pihak</div></div>
demosi	<p-n>noun</p-n> pemindahan suatu jabatan ke jabatan yang lebih rendah
dempak	<p-n>adj</p-n> <ol><li>rendah papak; tidak merunjung (tentang rumah, topi, dsb.)<br></li><li>papak (tentang haluan perahu)<br></li><li>lebar bilahnya (tentang pisau dsb.)<br></li><li>pendek gemuk (tentang tubuh)<br></li></ol>
dempam	<p-n>noun</p-n> tiruan bunyi anak kecil (yang baru pandai berjalan) jatuh
dempang	<p-n>noun</p-n> tiruan bunyi tong (kaleng besar dsb.) kosong jatuh dsb.
dempang	<p-n>adj</p-n> berhampiran; damping; dekat; rapat:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Maka perahu itulah dempang ke pulau</div></div>
demper	<p-n>noun</p-n> alat tambahan yang sering dipasangkan pada beberapa alat musik guna meredam kekuatan bunyinya
dempetkan	<p-n>verb</p-n> bentuk transitif dari mendempetkan<div class="form_of">Form of: mendempetkan</div>
dempetkanlah	<p-n>verb</p-n> bentuk imperatif dari dempetkan<div class="form_of">Form of: dempetkan</div>
dempir	<p-n>noun</p-n> bunyi nyaring tiruan bunyi canang dsb.
demplon	<p-n>adj</p-n> cantik dan montok
dempul	<p-n>noun</p-n> bahan penutup lubang pada kayu dsb., dibuat dari kapur dan minyak cat; gala-gala
dempulan	<p-n>noun</p-n> hasil mendempul
dempung	<p-n>noun</p-n> tiruan bunyi barang yang jatuh di air
demung	<p-n>noun</p-n> <ol><li><p-n>archaic</p-n> kepala distrik (lokal)<br></li><li>alat musik (gamelan semacam gambang dari logam)<br></li></ol>
demung	<p-n>noun</p-n> alat musik (gamelan semacam gambang dari logam)
den	<p-n>noun</p-n> <ol><li><p-n>acronym</p-n> raden (kata sapaan untuk seorang pemuda yang dianggap lebih muda derajatnya)<br></li><li>saya<br></li></ol>
denah	<p-n>noun</p-n> <ol><li>gambar yang menunjukkan letak kota, jalan, dsb.; peta<br></li><li>gambar rancangan (rumah, bangunan, dsb.)<br></li></ol>
denah duga	<p-n>noun</p-n> cara menggambarkan (menduga) arah pelayaran yang dipakai oleh para pelaut, misal pada waktu tertentu sepanjang hari para pelaut mencatat kecepatan kapal berlayar dan arah kapal bergerak<div class="tags"><b>shipping</b></div>
denah jahat	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>hantu yang menyebabkan kaki menjadi bengkak
denai	<p-n>noun</p-n> bekas (jejak) binatang besar di hutan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pemburu itu mengikuti denai kijang (harimau dsb.)</div></div>
denak	<p-n>noun</p-n> binatang (burung dsb.) yang digunakan sebagai umpan untuk menjebak binatang lain
denasalisasi	<p-n>noun</p-n> penghilangan bunyi nasal<div class="tags"><b>linguistics</b></div>
denasionalisasi	<p-n>noun</p-n> penghilangan atau penghapusan kewarganegaraan yang dijatuhkan sebagai hukuman<div class="tags"><b>law</b></div>
denawa	<p-n>noun</p-n> <p-n>archaic</p-n> pegawai polisi desa; pesuruh desa
dencang	<p-n>noun</p-n> bunyi yang bergerencang (seperti bunyi pedang yang bersentuhan)
dencing	<p-n>noun</p-n> denting; decing
denda	<p-n>noun</p-n> hukuman yang berupa keharusan membayar dalam bentuk uang (karena melanggar aturan, undang-undang, dan sebagainya):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">pemilik pesawat televisi yang lalai membayar pajak dikenakan denda</div></div>
denda kubra	<p-n>noun</p-n> denda adat di Jawa yang dijatuhkan kepada seluruh warga masyarakat apabila orang yang bersalah karena membunuh tidak tertangkap atau tidak diketahui dengan pasti siapa orangnya<div class="tags"><b>law</b></div>
denda pati	<p-n>noun</p-n> denda yang dikenakan kepada orang yang membunuh
denda paturunan	<p-n>noun</p-n> denda adat di Lombok atau ganti kerugian yang dibebankan pada desa apabila seseorang yang dituduh mencuri tidak tertangkap<div class="tags"><b>law</b></div>
dendaan	<p-n>noun</p-n> <ol><li>hasil mendenda<br></li><li>uang pendapatan mendenda<br></li></ol>
dendam	<p-n>adj</p-n> berkeinginan keras untuk membalas (kejahatan dsb.)
dendam berahi	<p-n>noun</p-n> perasaan cinta kasih yang berkobar dalam hati
dendam kesumat	<p-n>noun</p-n> rasa dendam dan benci yang sangat mendalam
dendamkan	<p-n>verb</p-n> bentuk transitif dari mendendamkan<div class="form_of">Form of: mendendamkan</div>
dendamkanlah	<p-n>verb</p-n> bentuk imperatif dari dendamkan<div class="form_of">Form of: dendamkan</div>
dendamku	<p-n>noun</p-n> bentuk posesif orang pertama dari dendam; dendam saya/aku<div class="form_of">Form of: aku</div>
dendamnya	<p-n>noun</p-n> bentuk posesif orang ketiga dari dendam; dendam dia/orang tersebut<div class="form_of">Form of: ketiga</div>
dendang	<p-n>noun</p-n> (burung) gagak; dandang
dendang air	<p-n>noun</p-n> dendang laut
dendang laut	<p-n>noun</p-n> burung itik laut; Sula leucogaster plotus
dendangkan	<p-n>verb</p-n> bentuk transitif dari mendendangkan<div class="form_of">Form of: mendendangkan</div>
dendangkanlah	<p-n>verb</p-n> bentuk imperatif dari dendangkan<div class="form_of">Form of: dendangkan</div>
dendeng	<p-n>noun</p-n> daging sayatan yang dirempahi dan dikeringkan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Dendeng sapi; dendeng rusa</div></div>
dendeng ikan	<p-n>noun</p-n> ikan olahan yang dibuat dengan cara mengeringkannya di bawah sinar matahari, setelah ikan itu dibubuhi bumbu, misal campuran garam dan ketumbar
dendi	<p-n>noun</p-n> pria yang perlente
dendrokronologi	<p-n>noun</p-n> pengetahuan tentang penentuan usia pohon atau batang berdasarkan tebal lingkaran yang terbentuk pada pohon
dendrologi	<p-n>noun</p-n> ilmu tentang cara mengidentifikasi jenis pohon berdasarkan ciri
denervasi	<p-n>noun</p-n> <ol><li>pemotongan, penghambatan suatu saraf<div class="tags"><b>medicine</b></div><br></li><li>keadaan dengan saraf yang terpotong atau terhambat<br></li></ol>
dengan	<p-n>prep</p-n> <ol><li>beserta; bersama-sama<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia pergi dengan anak istrinya</div></div><br></li><li>dan<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Saman dengan Simin tinggal sekampung</div></div><br></li><li>memakai (menggunakan, instrumental) suatu alat<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">melempar dengan batu; menusuk dengan belati; melukis dengan cat</div></div><br></li></ol>
dengan	<p-n>conj</p-n> <ol><li>kata penghubung menyatakan hubungan kata kerja dng pelengkap atau keterangannya:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">bermain dengan temannya;</div></div><br></li><li>kata penghubung untuk menerangkan cara (bagaimana terjadinya atau berlakunya); sambil; seraya:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia menjawab dengan tersenyum; harus datang sendiri dengan membawa ijazah;</div></div><br></li><li>kata penghubung menerangkan (sifat):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">diperhatikan dengan sungguh-sungguh; gawangnya dijaga dengan ketat; menyerang dengan gagah berani;</div></div><br></li><li>oleh; karena:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">lemarinya penuh dengan buku;</div></div><br></li><li>atas:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">dengan kemauan sendiri;</div></div><br></li><li>penghubung untuk menyatakan keselarasan (kesamaan, kesesuaian):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">menyesuaikan dengan keadaan lingkungan; mukanya mirip dengan ibunya;</div></div><br></li></ol><div>Antonyms: <p-a>tanpa</p-a></div>
dengan muka-muka	<p-n>noun</p-n> hanya pada lahirnya; tidak tulus hati; bermuka-muka
dengan sendirinya	<p-n>noun</p-n> sendiri (dengan arti yang lebih kuat); otomatis:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Bergerak dengan sendirinya</div></div>
denganmu	<p-n>noun</p-n> bentuk posesif orang kedua dari dengan; dengan kamu/Anda<div class="form_of">Form of: kedua</div>
dengannya	<p-n>noun</p-n> bentuk posesif orang ketiga dari dengan; dengan dia/orang tersebut<div class="form_of">Form of: ketiga</div>
dengar	<p-n>verb</p-n> tangkap
dengar pendapat	<p-n>noun</p-n> pertemuan yang diadakan untuk mendengarkan penjelasan atau pendapat seseorang yang berwenang mengenai pelaksanaan kegiatan dsb yang ada dalam batas tugas dan kewenangannya (anggota masyarakat, lembaga atau badan pemerintah, dsb):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">DPR telah mengadakan dengar pendapat dengan Menteri Pendidikan Nasional tentang masalah wajib belajar</div></div>
dengar-dengaran	<p-n>verb</p-n> <ol><li>seakan-akan mendengar sesuatu: saya selalu dengar-dengaran suaranya<br></li><li>percaya atas pendengaran; mudah (lekas) percaya: jangan suka dengar-dengaran saja, saksikan sendiri<br></li><li>suka menurut (mengindahkan): sebagai anak harus dengar-dengaran pada orang tua<br></li></ol>
dengarkan	<p-n>verb</p-n> bentuk transitif dari mendengarkan<div class="form_of">Form of: mendengarkan</div>
dengarkanlah	<p-n>verb</p-n> bentuk imperatif dari dengarkan<div class="form_of">Form of: dengarkan</div>
dengarlah	@dengar	<p-n>verb</p-n> <p-n>no-gloss</p-n> 
dengih	<p-n>noun</p-n> tiruan bunyi napas orang yang sesak
denging	<p-n>noun</p-n> tiruan bunyi lebah, bunyi nyamuk (bunyi "nging" di telinga dsb.)
dengingan	<p-n>noun</p-n> yang mendenging
dengkang	<p-n>noun</p-n> tiruan bunyi katak "kang, kang"
dengkel	<p-n>adj</p-n> <ol><li>tidak berair (tentang buah-buahan); kering<br></li><li>penyakit kaku atau bengkak pada mata kaki<br></li></ol>
