A	 pronounced a as in fat. 
tamaha,	adj. roan colour (male); (with reference to female tamahana). 
-tamalala (tamalalile) or -tatamala (tatamalile)	v.i. to defend a case with strong arguments. caus. -ta-malalisa (tamalalisize) to cause to ~. ref. -itamalalisa (itamalalisize) to show stubbornness. 
tamano (li-)	n. reciprocal accusation. (from: -tama). 
-tamba1 (tambile)	r.t. Luyana. to buy a witchcraft medicine in order to obtain supernatural power. der. mutambisi, sitambiso, tambisano. rel. -tambela (tambezi) to kill someone in order to give power to a medicine bought from a witch- doctor. (see: -pumela). caus. -tam- bisa (tambisize) to sell medicines to enable someone to become a witch. re. -tambisana (tambisani) to exchange witchcraft medicines. ref. -itambisa (itambisize) as rec. 
-tamba2 (tambile)	v.i. to be very tired, exhausted. der. matambisa. syn. -bomba, -topwela, -katala. caus. -tambisa (tambisize) to cause tiredness, exhaustion. fig. to tame: Ni ta ku tambisa haiba u sa utwi ze ni bulela, I will tame you if you won't listen to me. rec. -tambisana (tambisani) to fight until ex-- hausted. ref. -itambisa (itambisize) as rec. 
-tambala (tambalile) 	v. i. to take a short walk. rel. -tambalela (tamba-lezi) to ~ to. caus. -tambalisa (tam-balisize) to accompany someone taking a walk. red. -tambalala-tam-balala (tambalala- tambalalile) to take a few steps. 
tambani (li-)	n. house-tick. fig. a persistent beggar. 
-tambeka (tambekile)	v.t. to hold out something; to give. der. mu- tambeki. rel. -tambekela (tambe-kezi) to ~ to or for someone: Mu ni tambekele yena mukeke wo, pass on to him that plate for me. 
-tambikela (tambikezi)	v.t. (1) to throw for. (2) to call people who are far away. 
-tambiketa ( tambiketile )	v. i. as -tambeka. 
-tamboka1 ( tambokile )	v. i. to walk majestically, to strut. 
-tamboka2 (tambokile) 	v.i. to toddle, to totter (child). syn. -tambuka. caus. -tambokisa (tambokisize) to teach a little child to walk. ref. -tambokisa (itambokisize) to make one's first steps: Mwanana s'a kona ku itambokisa cwale, the child is al-ready able to toddle alone now. 
-tambokisa (tambokisize) or -tam-bosa (tambosize)	v.t. to beat the drums when the Litunga goes to the Kuta on special occasions. 
-tambuka (tambukile)	v.i. to make one's very first stops (child). syn. -tamboka ref. 
-tambula (tambuzi)	v.t. Luyana. to receive (mostly from the Litunga). rel. -tambulela (tambulezi) to re-ceive a gift from the Litunga on someone's behalf. caus. -tambulisa (tambulisize) to hand over to someone a present from the Li-tunga. 
-tambwa (tambwile)	v.i. to speak os-tentatiously. syn. -yenanga. der. mu- tambwi, mutambwelo. rel. -tamb-wela (tambwezi) to ~ somewhere. caus. -tamwisa (tambwisize) to cause to ~. 
-tameleza (tamelelize)	v.t. to accuse falsely. der. mutamelezi. syn. -njanga, -tamiliketa, -tamilikeza. 
tamelezo (li-) 	n. false accusation. (from: -tameleza). syn. tamilikezo. 
-tamiliketa (tamiliketile)	v.t. as -ta-meleza. 
-tamilikeza (tamilikelize)	v.t. as -ta-meleza. 
tamilikezo (li-) 	n. false accusation (from: -tamilikeza) syn. tamelezo. 
tamiso (li- or ma-)	n. anything used for tying. (from: -tama) 
amo (li-)	n. tie, bond. fig. accusa-tion. (from: -tama) 
-tamuka (tamukile)	v.i. to start rain-ing. cf. -lota. rel. -tamukela (tamu-kezi) to rain (the first drops): Pula i ni tamukezi, I felt the first drops of rain. freq. -tamauka (tamaukile) or -tamoka (tamokile) to start raining in big drops. fig. to speak illogi- cally; to speak nonsense, incoher-ent things; to tell cock and bull stories. rel. -tamokela (tamokezi) to tell someone incoherent stories. caus. -tamokisa (tamokisize) to cause someone to speak incoher-ently. 
-tampakana (tampakani)	v.i. to be full of dirt, of filth. flg. to be an evil-doer, to have a dark soul. 
-tamuluha (tamuluhile)	v.i. see: -tama. 
-tamulula (tamuluzi)	v.t. see: -tema. -tamuna (tamuzi) v.t. to eat the first fruits; to enjoy the first products of a new crop. der. katamu. syn. -oloka. caus. -tamunisa (tamunisize) to share out the first fruits of the scason 
-tana1 (tanile)	v.t. to kill in great numbers: Pula i til'o tana mulaka kaufela, lightning killed all the cattle in the kraal. 
-tana2 (tanile)	v.i. to jump from one stone, etc. to another; to walk on a bridge made of rough poles. der. mutano, syn. shatoka. fig. to change work all the time. 
-tanakana (tanakani or tanakanile) 	v.i. to sleep closely to each other; to lie in disorder (goods, etc.). 
-tanala (tanezi or tanalile)	v.t. to beat, to strike; to thresh corn; to kill in great numbers (fish, game, birds, etc.) der. mutanali. syn. -pula. rel. -tanalela (tanalezi) to ~ for someone. caus. tanalisa (tanalisize) to help to ~. int. -tanalelela (tanalelezi) to complete corn th-reshing. red. -tanala-tanala (tanala--tanalile) to thresh corn for a short while. ref. -itanalela (itanalezi) to thresh corn for oneself. 
-tanamana (tanamani or tanamanile)	v.i. to be shallow; to have no depth (canoe, wooden dish, etc.) der. lutana. 
-tanda1 (tandile)	v.t. to throw a bulb used as a ball in the tindi or cileke game. der. mutandi, sitandiso, mu-tandelo. fig. to annoy, to torment, to tease (of many against one). rel. -tandela (tandezi) to go to a certain place to play cileke. caus. -tandisa (tandisize) to join people playing cileke game; to supervise the game. 
-tanda2 (tandile)	v.i. to spend time: ku tanda sunda matu a sa ci, to spend a whole week without eating. cf. -tola. 
-tandabala (tandabalile)	v.t. to stretch out (the legs). syn. -tandala -namalala. rel. -tandabalela (tanda-balezi) to ~ in a certain direction. caus. -tandabalisa (tandabalisize) to cause to ~. 
-tandala (tandalalile)	v.i. to be stretched out (the legs) syn. -tanda-bala, -namalala. rel. -tandalela (tandalezi) to ~ in a certain direc-tion. caus. -tandalisa (tandalisize) to cause to ~. 
-tandalelwa (tandalezwi )	v.i. to be happy after finding an unexpected thing, to have the good fbrtune of finding an unexpected thing: Kacenu ni tandalezwi ku fumana nama, today I had the good for-tune of finding some meat. 
-tandana (tandani or tandanile)	v.i. to writhe in pain; to be in agony, to be in a death struggle. cf. -tand-ela. caus. -tandanisa (tandanisize) fig. to hold someone very strongly against his will ref. -ltandanisa (itandanisize) to feign agonizing pain; fig. to fight. 
-tandela (tandezi)	v.i. to breathe one's last. cf. -tandana. 
tanga1 (li- or ma-)	n. Eng. water tank. 
-tanga2 (tangile)	v.t. Luyana. to be the first to do something; to start; to influence der. mutangi, mu-tango, notanga. syn. -kala, -tateka. 
-tangaela (tangaezi) 	v.i. to walk as a very weak person. der. mutangaeli, mutangaelisi. cf. -tanga-tanga. rel. -tangaelela (tangaelezi) to walk somewhere with difficulty due to illness. caus. -tangaelisa (tangaeli-size) to cause to ~. ref. -itangaelisa (itangaelisize) to try to walk al-though having great difficulty. 
-tangalala (tangalalile)	v.i. to be very happy, glad, joyful. syn. -nya-kalala, -taba' -wabelwa. rel. -tan-galalela (tangalalezi) to enjoy somothing: Ba tangalalezi–i cwalo? why are they so merry? caus. -tan-galalisa (tangalalisize) to cause joy, happiness. 
-tangamana (tangamani)	v.i. to be not easily pleased or satisfied: Musali wa teni h 'a itumeli, u li ka mu ezeza se ni se, yena u li Mawe, ku tangamana kabe ki sa kulikuli!" oh! that woman is never grateful, and always says: if I had this and that, when ever you try to please her! 
tangana,	n. col. n. young men: tan-gana ya Kambule, the young men of Kambule. cf. sizana. 
-tanganya	(tanganyize)v.i. to be mad (speaking of a dog) der. mu- tanganyo. syn. -pulumuka, -tanya. caus. -tanganyisa (tanganyisize) to cause canine madness. ref. -itanga-nyisa (itanganyisize) fig. to drive oneself mad. 
-tanga-tanga (tanga-tangile)	v.i. to t lose one's balance, to reel. syn. ->- tantalika. rel. -tanga-tangela tD (tanga-tangezi) to ~ to: Zamaya, u 6~, y'o tanga-tangela koo, u ka ni wela; go and reel somewhere else or you will fall on me. caus. -tanga-tangisa (tanga-tangisize) to cause to ~; to accompany someone walking with difficulty. cf. -tangaelisa. ref. -itanga-tangisa (itanga- tangisize) to pretend to be drunk (in order to make people laugh). 
-tangeta (tˆngetite)	v.t. to send ahead. der. mutangeti. rel. -tan- getela (tana.etezi) to ~ for some-one. caus. -tangetisa (tangetisize) to help to ~. ref. -ltangeta (itangetite) to go ahead. 
-tanguka (tangukile)	v.i. to stand erect, motionless, watching. 
-tangukwa (tangukilwe)	v.i. to start to be ill. 
-tanguta (tangutile)	v.t. to narrate or relate tales of olden times, folk tales, etc. der. mutanguti, litangu. cf. -shitanguta. rel. -tangutela (tangutezi) to ~ for someone. caus. -tangutisa (tangutisize) to join someone, helping him to relate old tales. 
-taniketa (taniketite)	v.t. to foretell to someone events that are going to happen in his life (mostly acci-dents or death). cf. -sinula rel. -tan-iketela (taniketezi) to offend some-one by forecasting difficult future to one of his relatives: U sike wa ni taniketela mwanahesu ku shwa, do not forecast the death of my brother. ref. -itaniketa (itaniketite) to forecast hardship about one's own future. 
-tanikeza (tanikelize)	v.t. as: -tani-keta. 
-tanta (tantile)	v.t. to mistake some-one for somebody else. 
-tantalika (tantalikile)	v.i. to stag-ger, to lurch along; to lose one's balance. der. mutantaliki, syn. -tanga-tanga. rel. -tantalikela (tan-talikezi) to ~ to. caus. -tantalikisa (tantalikisize) to cause to ~; to ac-company someone walking with difficulty. ref. -itantalikisa (itantali-kisize) to simulate drunkenness (in order to make people laugh). 
-tantauka (tantaukile)	v.t. to eat greedily without care for others. int. -tantaukelela (tantaukelezi) to eat all the food greedily. 
-tanuhela (tanuhezi)	v.t. to turn against someone, to turn away from someone. syn. -fetuhela, -kwenuhela. rec. -tanuhelana (tanu-helani) to turn against each other: Se ba tanuhelani, ha ba sa utwana; there is no longer a good under-standing between them, they have turned against each other. ref. -lta-nuhela (itanuhezi) as rec. 
-tanula (tanuzi)	v.t. (1) to live ac-cording to a marital agreement (polygamy) to move from one wife's house to another's in turn (2) to pull a canoe over an obstacle from one pool to another when fishing. fig. to go from one pool to another (crocodile). der. mutanulelo. 
tanumuna (tanumuzi)	v.i. to dig up roots of mituga trees in order to peel them and set mashandi. -tanutuka (tanutukile) v.t. to go from one house to another or from one yard to another: Mwanana u maswe ka tanutuka malapa mwa hae, it is a bad habit for a child to go from one house to another in the village (in search of food). caus. -tanutukisa (tanutukisize) to cause to ~. 
tanya (tanyize)	v.i. to show signs of ill, to be completely insane. der. li-tanya, butanya. syn. -pulumuka. caus. -tanyisa (tanyisize) to cause madness. ref. -itanyisa (itanyisize) to act as though completely mad; to be in a raving mad temper. -tanya2 (tanyize) v.i. to show signs of weakness, of bad health (face, hair, etc.) caus. -tanyisa (tanyisize) to cause to ~. -tapa1 (tapile) v.i. to wash: ka tapafa mubili, to wash one's body; to bathe, to swim. spec. exp. ka tˆpa silozi, to swim. der. mutapisi, sita- pelo, mutapelo. cf. -yowana. rel. -tapela (tapezi) (1) to swim towards: ika tapela mwabuse bwa nuka, to swim to the other bank of the river; (2) to use someone's water in washing: Ki ma–i ya ni tapezi mezi a ka? who used the water I had prepared? caus. -tapisa (tapi-- size) to wash, to cleanse; to help to swim, to make swim: ka tapisa likomu, to take cattle across a river (see: -tapisa:). freq. -tapanga to ~ frequently. red. -tapa-tapa (tapa- tapile) to wash lightly; to bathe for a little while. ref. -itapisa (itapisize) to wash oneself. -tapa2 (tapile) v.i. to become tame, easy to manage; to be trained. tapisa (tapisize) to tame (see: -tapisa). inv. -tapuluha (tapuluhile) to go back to wild habits. 
-tapala (tapalile)	v.i. to be impu-dent, insolent, impertinent. rel. -tapalela (tapalezi) to be disrespect-ful to someone. caus. -tapalisa (ta-palisize) to cause impertinence: Mwanana yo sesi mu tapalisa cwana, ki kuli pElu ya hae i keluhile; this child has an unhinged mind, this is the reason for his impertinence. 
-tapanya (tapanyize)	v.i. Sotho. to swear, to declare on oath: Ni tapa-nya pa pEl 'a Maxima kuli ha si na ya uzwize Mali, I swear before God that I did not steal the money. syn. -konka. -shanjala. 
tapelo (li-)	n. prayer, intercession, supplication. (from: -lapels). 
tapi (li-)	n. gen. n.) fish. 
-tapisa1 (tapisize)	v.t. to wash, to cleanse; to help to swim (see: -tapa1). der. mutapisi, mutapisezo. rel. -tapiseza (tapiselize) to ~ for someone. caus. -tapisisa (tapisisize) to help to ~. int. -tapiseleza (tapi-selelize) to ~ thoroughly. freq. -ta-pisanga to make a habit of wash-ing. red. -tapisa-tapisa (tapisa-tapi-size) to do a little bit of washing. ref. -ltapisa (itapisize) to wash one- self. 
-tapisa2 (tapisize)	v.t. to tame; to train, to enforce discipline. der. mutapisi, mutapisezo. (see: -tapa1¼ rel. -tapiseza (tapiselize) to ~ for someone. caus. -tapisisa (tapisisize) to help to ~. int. -tapiseleza (tapi-selelize) to tame all (of). rec. -tapi-sana (tapisani) fig. to subdue, to master each other. syn. -nyukana. freq. -tapisanga to tame animals frequently. ref. -itapiseza (itapise-lize) to tame for oneself. 
tapo (li-)	n. bead-necklace. 
-tapuha1 (tapuhile)	v.i. to be thin. syn. ota. 
-tapuha2 (tapuhile) 	v.i. to lose savour, to become insipid. syn. -sampuka, -amuba. 
-tapula1 (tapuzi)	v.t. to make taste-less, insipid. rel. -tapulela (tapulezi) to ~ for someone: U ni tapulezi bu-sunso bwa ka, ha be sa na munati my relish lost its savour, for you put too much water in it. 
-tapula2 (tapuzi)	v.t. to insult, to curse. der. Iitapa. syn. -lwaha. -sho-bola. rel. -tapulela (tapulezi) to offend someone by insulting a third person. freq. -tapaula (ta-pauzi) to insult much, to use abu-sive language. rec. -tapaulana (ta-paulani) to insult each other. ref. -itapaula (itapauzi) as rec. 
-tapula3 (tapuzi)	v.t. to untie hunting dogs and send them after game; to urge forward (cattle). 
-tapuluha ( tapuluhile )	v. i. to pass water, to urinate. syn. -luta. sulula * mezi. rel. -tapuluhela (tapuluhezi) [ to urinate somewhere. caus. -tapu-[ luhisa (tapuluhisize) to help (a i child or a sick person) to pass I water. 
|-tapwama (tapwami)	v.t. to tread in mud, dung, etc. 
-tapwanga (tapwangile)	v.i. to walk a in muddy, watery places. 
-tapweka (tapweile)	v.t. to throw mud on an object, to dirty. freq. -tapwateka (tapwatekile) to bes-mear. 
tapwi!	ideoph. (se li ~!) refers to any object falling in water. syn. cupwi! tupwi! 
-tapwikela (tapwikezi)	v.i. to disap-pear under the surface of water cf. -ndumwi kela. cuas. -tapwikel isa (tapwikelisize) to cause to ~. int. -tapwikelela (tapwikelezi) to disap-pear in a certain place under the surface of water. 
-tapwita (tapwitile)	v.i. & v.t. to splash about, to tumble in the water; to bob on the water (ducks) to agitate water: Banana mu si ke mwa tapwita mezi ao, hakuna ya ka y'o a ka hape; chil-dren don't splash all that water out for nobody is going to draw any more. 
-tasa (tasize)	v.i. to be new (moon): Kweli i tasize, it is the new moon. rel. -taseza (taselize) to appear to someone (speaking of the moon): Kweli i lo taselize kwa Lealui, we observed the new moon when we were at Lealui. 
-tasambwa (tasambwile)	v.i. to speak ostentatiously der. Iita-sambwa, litambwa, malasambwa. syn. -tambwa, -tasanga. cf. -ye-nanga. rel. -tasambwela (tasamb-wezi) to ~ somewhere. caus. -ta-sambwisa (tasambwisize) to cause to ~ 
-tasanga (tasangile)	v.i. as -ta-sambwa. 
-taseza (taselize)	v.t. to scold, to abuse, to slang someone. syn. -omanya, -kalimela, halifela. 
tasi1	adv. down, under, below: Butuku bwa hae bu se be li kwa tasi hahulu, mane h'a sa kona ni ka bulela; he is in a very serious con- dition, and he cannot even speak any more; sintolo sa ka se si ya hahulu kwa task the business in my store is going down and down. 
tasi2	prep. (kwa ~ a; mwa ~ a) down, under, underneath, below: Ni boni nova kwa tas'a likota (kwa tasi a likora) I saw a snake under the trees. 
-tasuka (tasukile)	v.i. to gush forth, to spout out, to squirt out (water) to spurt (blood); to fly (spark) fig. to burst out in speaking. rel. -tasu-kela (tasukezi) to ~ towards. fig. to burst out against someone caus. -tasukisa (tasukisize) to cause to ~ fig. to cause to burst out in speak-ing freq. -tasauka (tasaukile) to spurt in one continuous streak fig. to burst out angrily. ref. -itasukela (itasukezi) fig. to scold each other 
tata1,	adj. difficult hard, tough: kota ye tata, a hard wood; nzila ye tata, a difficult road; bupElo bo bu tata, a hard life; musebezi o tata, a tough work 
tata2,	adv. (ka ~) strongly, vigo-rously, firmly with difficulty, not easily: Busunso bufumanwafela ka tata, relish can only be found with great difficulty 
-tata3 (tatile) 	v.t. to wind (string, rope, etc.); to curl (hair etc.); to twist (as mashandi roots or fibre to make a rope) der. mutati mutatelo, sitatiso, cf. -bonda. rel. -tatela (tatezi) to ~ for someone. caus. -tatisa (tatisize) to help to ~ stat. -tateha (tatehile) to be easily twista-ble rec. -tatana (tatani) to become mixed up, entangled (wire, rope, etc ) inv. -tatulula (tatuluzi) to untwist, to unwind, etc. (see: -tatu-lula). ref. -itata (itatile) to curl each other's hair 
-tatafala (tatafalile or tatafezi)	v.i. to become difficult, to become hard to convince: Taha ya hae i ne i tatafezi hahulu kwa makalelo, his case had been very difficult at the beginning; U tatafalafela, ki wena sifosi; you resist without reason, you are guilty. rel. -tatafalela (tata-falezi) (1) to become difficult at a particular point: Taba ya mina i ta-tafalelafa bupaki bwa buhata, your case becomes difficult where false evidence comes in; (2) to harden one's feclings against someone: U ni tatafalela fela, hakuna se ni kufo-selize; you are hardening your feelings against me for no reason, I did not wrong you caus. -tatafalisa (tatafalisize) or- tatafaza (tatafa: lize) to harden, to influence some-one so that he becomes hard to convince (see:-tatafaza) 
-tatafaza (tatafalize)	v.t. qual to harden, to make difficult der. mu- tatafazi. relt -tatafaleza- (tatafale-lize) to ~ for (against) someone caus. -tatafalisa (tatafalisize) to cause difficulty. freq. -tatafazanga to be inclined to make things diffi-cult ref. -itatafaza (itatafalize) or itatafalisa (itatafalieize) to harden one's feelings; to resist stubbornly -tatahana (tatahani) v.i. (1) to be superimposed, doubled (blankets, etc ) (2) to come one after the other to follow in succession (peopie, letters, etc.) 
-tatahanya (tatahanyize)	v.t. to double (clothes, blankets, etc.); to put one upon the other. 
-tatalana (tatalani) or -tatalakana (tatalakani) 	v.i. to crackle (fire), to crackle when being roasted (maize, etc ) fig. to speak angrily. rel. -ta-talanela (tatalanezi) fig. to speak very angrily to someone caus. -ta-talanisa (tatalanisize) or-tatalaka-nisa (tatalakanisize) to cause (fire) to crackle; to cause (maize) to pop by roasting too close to hot ashes fig. to provoke someone's angrily-spoken reaction freq. -tatalaka-nanga fig. to be inclined to speak angrily 
-tatama (tatami or tatamile)	v.t. (1) to follow; to be second to some- one. (2) to chase Ba tatami lisholi, they chased the thief syn. -landa-meka, -shenja, matisa. cf. -latelela. rel. -tatamela (tatamezi) to chase for someone caus. -tatamisa (tata-rnisize) to help to chase, rec. -tata-mana (tatamani) to follow each other, to succced each other. syn. -tomahana. 
-tatamala (tatamalile)	v.i. as -tama-lala. 
-tatana (tatani)	v.i. to wreathe (of smoke, etc), to twine, to be inter-laced (of ribbons, etc ); to be in-terwoven (of threads, etc.) 
-tatauka (tataukile) or -tatoka (tato-kile)	v.i. to speak very angrily for a long time. der. mutataukelo. syn. -omana, -lokota. rel. -tataukela (ta-taukezi) to scold someone for a definite reason. caus. -tataukisa (tataukisize) to cause to ~. ref.-itataukisa (itataukisize) to scold each other very angrily. 
-tataula (tatauzi) to demolish; to tear to rend (garment etc )	der. matatauli. cf. -yahulula -lutulula. fig. to tear to pieces, to devour (as a lion with its prey) rel. -tataulela (tataulezi) to pull down a house for someone. caus. -tataulisa (tatauli-size) to help to demolish. int. -ta-taulelela (tataulelezi) to demolish completely. syn. -kukisa, -apea, rel. -tatehela (tatehezi) to ~ for some-one. caus. -tatehisa (tatehisize) to help to ~. to supervise cooking. int. -tatehelela (tatehelezi) to ~ everything freq. -tatehanga to be accustomed to cook, to be used to cooking: Mu no tatehanga lico ze nde, do try always to cook good food ref. -itatehela (itatehezi) to cook for oneself 
-tateka (tatekile)	v.t. to start, to begin (manual work, dance, etc.): S'a tatekile ku luka museme wa ka, he has already started to make my mat der. mutateki, matatekelof syn. -kala. cf. -ungeka. rel. -tatekela (tatekezi) to ~ for someone 
-tatela (tatezi)	v.t. to load a gun der. mutateli, mutatelo. fig. to be very angry: Kacenu u tatezi. h'a pu- nyiwi mwa pata; today he is very cross, people fear to look at him. rel. -tatelela (tatelezi) to ~ for someone; to ~ with a definite in-tention N'a mu tatelezi tobolo kuli a mu bulaye, he had loaded his gun with the intention of killing him caus. -tatelisa (tatelisize) to cause to ~ 
-tateza (tatelize)	v.i. & v.t. to roll something round with a rope, to coil, to wind, to roll (snake): Mabani, noZa i ni tatelize kwa mautu, kono ha i sika ni luma; a snake wound round my fect yesterday, but it did not bite me ref. -itateza (itatelize) to wind, to roll itself (snake) 
tato,	n. will, determination, resolu-tion, intention; desire, self- will from: -lata) 
-tatoka (tatokile)	v.i. see: -tatauka. 
tatu (li-)	n. medicine protecting against any kind of harm (witch- craft) syn. nkau. 
-tatuba (tdubile)	v.t. to examine, inspect or survey (officially). der. mutatubi, tatubo, mutatubelo. cf. -nyaka, -talima. rel. -tatubela (tatu-bezi) to ~ for someone. caus. -ta-tubisa (tatubisize) to help to ~. int. -tatubelela (tatubelezi) to examine thoroughly (all the school chil-dren, all the works. etc.) rec. -ita-tuba (itatubile) to examine oneself, to examine one's conscience. 
tatubo (li-)	n. examination, inspec-tion (tatubonyana, test). (from: -tatuba). 
-tatuha (tatuhile)	v.i. (rare) to get out of water; to leave the flooded plain. syn. -omboka. 
-tatula (tatuzi)	v.t. to start hoeing, cultivating. der. mutatuli. rel. -tatu-lela (tatulezi) to ~ for someone caus. -tatullsa (tatulbize) to help to ~. 
tatuluha ( tatuluhile )	v. i. to be c ome unwound (string, rope, etc.), un-curled (hair, etc ), untwisted (ma-shandi roots, etc) fig. to regain one's good temper int. -tatuluhe-lela (tatuluhelezi) to become fully untwisted fig. to cool down com-pletely 
-tatulula (tatuluzi)	v.t. to unwind (string, rope, etc ), to uncurl (hair, etc.), to untwist cf. -tamulula. rel. -tatululela (tatululezi) to ~ for someone. caus. -tatululisa (tatululi-size) to help to ~. 
-tatulusa (tatulusize)	v.i. to be the first to catch a fish in a fishing party, or to kill an animal in a hunting party 
tau (li-)	n. Iion syn. inambso. cf. munumba. fig. a greedy person. 
taula1 (li-)	n. divining object (see: li-taula) (from: -laula) 
-taula2 (tauzi)	v.t. Eng. to towel, to wipe (with a towel, an handker- chief, a duster, etc.) der. taulo, si-tauliso. cf. -takula. rel. -taulela (taulezi) to wipe for. caus. -taulisa (taulisize) to help to ~. int. -taule-lela (taulelezi) to ~ completely ref. -ltaula (itauzi) to dry oneself (with a towel) 
taulo (li- or ma-)	n. Eng. towel, any-thing used for wiping; handker- chief; woman's head-dress (from: -taula) 
tauni or taundi (li- or ma-)	n. Eng. town, city. 
taya (li- or ma-)	n. Eng. tyre. 
-taza1 (tazize) 	v.i. to vomit, to belch. der. mataza, lutazo, mutazezo. rel. -tazeza (tazelize) to ~ in or upon; to feed (of birds): Linyunywani li ta-zezanga bana ba zona lico, birds feed their young by dropping food down their throats. caus. -tazisa (tazisize) to cause to ~. fig. to make someone give up some evil habit idiom: exp: Na ni ta ku tazisa mukwa wa hao wo mane u taze ni linkau z'o mEzize zŽ ku pulumuna; I will make you get rid of your evil habits as well as your madness caused by witchcraft medicines! 
-taza2 (tazize)	v.t. to fill up rel. -tazeza (tazelize) to ~ for someone int. -tazeleza (tazelelize) to ~ com-pletely. 
-tea1 (teile)	v.i. to go to toilet (a child). 
-tea2 (teile)	v.t. to set a trap; to lay a bow-net. der. mutei, siteo, siteiso, muteelo. fig. to betray rel. -teela (teezi) to ~ for someone caus. -teisa (teisize) to help to ~. int. -tee-lela (teelezi) to set all traps; to lay all bow-nets. inv. -teulula (teuluzi) to take out of a snare a trapped bird or animal, etc. ref. -iteela (iteezi) to ~ for oneself. 
-tea3 (teile)	v.t. to bow down: Ni til'o tea tohofafasi ku mu–'a ka, I came to pay my respects to my Lord. 
-tea4 (teile)	v.t. to stretch out one's hands in order to receive some-thing. 
-tea-tea1 (tea-teile)	v.i. (women) to show joy by dancing before the Li-tunga. 
-tea-tea2 (tea-teile)	v.i. to be about to set (speaking of the sun) cf. -pazula, likela. 
tebe (li-)	n. shield (war shield) fig. protector. 
-tebeta1 (tebetile)	v.t. to slander, to denigrate, to calumniate. syn. -seba, -sawana, -ungwatala, mun-jula. 
-tebeta2 (tebetile)	v.i. Luyana. to emit wind (fart). der. mitebe. 
tebuho'	n. Sotho gratitude, thank-fuiness (from: lebuha). 
-tebuka (tebukDe)	v.i. (1) to hang down (lower lip on account of old age) (2) to lean (wall, hut, etc.) syn. -pwecuka. fig. to sit idly, lazily, slothfully. caus. -tebukisa (tebuki-size) to cause to ~ 
-tebula (tebuzi) 	v.t. to curl up one's lip as a sign of dissatisfaction: U sike wa tebula mulomo, ni wena ni ku Sile sina ba ba–wi, do not show dissatisfaction (by curling up lips), for I have given you what I gave to others caus. -tebulisa (tebulisize) to cause to ~. 
tee!	interj. expressing bursting idiom. exp: U li tee, u pazuhe fahali ike biemba bya Nalikwanda! may you be struck dead and shatter into a thousand pieces! (lit: burst asunder like fragments of the Na- likwanda). 
-teeba (teebile)	v.i. Luyana. to be lucky, fortunate blessed. 
-teeka (teekile) v	t. (1) to take care of, to look after (a child or a weak person); to provide for: Kamita mu no teeka banana ha mu ca lico, do always provide for the children when you are eating food; (2) to paddle alongside the river bank (in order to ensure protection). cf. -kengeka. rel. -teekela (teekezi) to take care of someone on behalf of a third person 
teeta!	interj. expressing surprise of fear idiom. exp: Teeta, lu ka sabela kai, ki kale a li shelula! gosh ! where shall we escape to, for we are al-ready involved in his case 
-teeleza (teelelize)	v.t. to listen to at-tentively, to hearken to, to give heed to- to understand: KauSela lu teelelize s'o si bulela, we all under-stand what you are saying der. mu-teelezi. cf. -mamela, -tokomela. caus. -teelezisa (teelezisize) (1) to accompany somebody who is going to listen to someone's case (2) to call for silence in order to allow people to listen. rec. -teele- zana (teelezani or teelezanile) to listen to each other's arguments freq. -teelezanga to have the habit of listening attentively 
teka1 (li- or ma-)	n. (one's) side, waist 
-teka2 (tekile)	v.t. as -teeka. 
-tekala (tekalile)	v.i. to be left, to remain (water in a container) 
-teka-teka1 (teka-tekile) or tenga-tenga (tenga-tengile) 	v.t. to fondle a child syn. -tengateka. 
-teka-teka2 (teka-tekile)	v.t. to be agitated (as a liquid in a vessel being carried) 
-tekelela (tekelezi)	v.i. to know well, to know thoroughly cf. -ziba. idiom. exp: ku shwa itekelelwa, to die in an unknown way 
-tekema (tekemile)	v.i. to be loose (axe, hoe, etc.) to wobble (jelly, meat, etc.) to shiver, to shake (dancer, etc. ). 
-tekesela (tekesezi)	v.i. to tremble with fear, to quiver; to dance (shaking). 
tekeseli (li-)	n. lid of an iron pot 
tekiso (li-)	n. sale, selling (from: -lekisa). 
teko (li-)	n. price, cost, value (from: -leka). 
teku (li-)	n. handie of a spear fig. tall, thin, good looking young man. fig. exp: ku tiba ni liteku, to go for good A sa li ku ca mali a ka, u tibile ni liteku, h'a sa bonwa; since he borrowed my money, we don't see him any more, he has gone off for good (lit: he disappeared com-pletely as a spear). 
tekuliso (li-) 	n. habit of informing people about the welfare of others or about one's own health (from: -lekula). 
tekulo (li-)	n. visit (from: -lekula). 
-tela (telile)	v.t. to pay a tax (any kind of tax) der. mutelisi, mutelo, butelisi. rel. -telela (telezi) to ~ for someone or something caus. -telisa (telisize) to collect taxes. int. -telelela (telelezi) to pay all taxes ref. -ltelela (itelezi) to pay one's own tax. 
telee!	interj. expressing redness Lizazi li li tepee, se It likela cwale the sun is red, so it's going to seti Ha ni t'ofita mwa mulapo o muinwi, na Ghana kuli telee, ki mwan'a lizwif fela! when I reached a cer-tain stream in the plain, I found a large number of antelopes! 
telekano (li-)	n. divorce (by mutual agreement) (from:-leleka). 
teleko (li-)	n. divorce, expulsion (from: -leleka). 
