अचंभे	Aback
मुक्तिको	Salvation
भक्तिहीन मानिसले	Salvationism
साल्वे	Salve
बाढ	Salvo
शमूएल	Sam
समाज	Samaj
समन	Saman
फर्नीचर	Samani
सामरिया	Samaria
सामरी	Samaritan
सामारियम	Samarium
समरकान्द	Samarkand
साम्बा	Samba
सांभर	Sambar
यही	Same
समीर	Samir
डी	Sammy
सामोआन	Samoan
लघु नौका	Sampan
नमूना	Sample
नमूना	Sampler
नमूना	Sampling
शिमशोनले	Samson
शमूएल	Samuel
सान	San
अस्पताल	Sanatorium
सम्बलत	Sanballat
पवित्रता	Sanctification
पवित्र	Sanctified
पवित्र पार्ने	Sanctifier
पवित्र	Sanctify
धर्माभिमानी	Sanctimonious
नाकाबन्दी	Sanction
पवित्रतालाई	Sanctity
पवित्र स्थानमा	Sanctuary
बालुवा	Sand
जुत्ताको	Sandal
चंदन	Sandalwood
बालुवा देखि भरा बोरा	Sandbag
बलौटे	Sandbank
बालुवा ले भरा	Sanded
सैंडर्स	Sanders
बुद्ध	Sandip
बलौटे	Sandstone
सैंडविच	Sandwich
सैंडी	Sandy
समझदार	Sane
स्यानफोर्ड	Sanford
गाए	Sang
संगर	Sangar
सेंगर	Sanger
संघ	Sangha
अभिशप्त	Sanguinary
आशावादी	Sanguine
न्यायपरिषद्का सदस्यहरू	Sanhedrin
सफाई	Sanitarian
सेनेटरी	Sanitary
सरसफाइ	Sanitation
विवेक	Sanity
संजय	Sanjay
संजीव	Sanjeev
अर्काे	Sanjib
डुब्यो	Sank
सांख्य	Sankhya
भोलिपल्ट रानीसँग भेट	Sannyasin
बिशेष	Sans
संस्कृत	Sanskrit
संत	Sant
साओ	Sao
सफायर	Sap
दानिशमंदी	Sapiential
नीलमणि	Sapphire
सैप्रोफाइटिक	Saprophytic
सारा	Sara
शारदा	Sarada
सारा	Sarah
रामशरण	Saran
व्यंग्य	Sarcasm
व्यङ्ग्यात्मक	Sarcastic
व्यङ्ग्यात्मक	Sarcastically
सानो माछा	Sardine
सार्दिनियाई	Sardinian
निंदापूर्ण	Sardonic
सारा	Sare
साडी	Sari
सरकार	Sarkar
सरोद	Sarod
सारोनले	Saron
मयरसीनेसी	Sarraceniaceae
प्लमबैगीनेसी	Sarraceniales
जयसूर्या	Sarwan
अब	Sasa
फीता	Sash
शनि	Sat
शैतानले	Satan
शैतानी	Satanic
सैतानवाद	Satanism
झोला	Satchel
साटन	Sateen
उपग्रह	Satellite
पेट भर खिलाना	Satiate
तुष्टि	Satiation
तृप्ति	Satiety
साटन	Satin
व्यंग्य	Satire
व्यंग्य गर्छन	Satirize
सन्तुष्टि	Satisfaction
सन्तोषजनक	Satisfactorily
संतोषजनक	Satisfactory
सन्तुष्ट	Satisfied
पूरा	Satisfy
सन्तोषजनक	Satisfying
बडाहाकिमको जिम्मामा	Satrap
सत्त्व	Sattva
संतृप्ति	Saturation
शनिबार	Saturday
शनि	Saturn
साटर्नालिया	Saturnalia
सस	Sauce
सस पैन	Saucepan
तश्तरी	Saucer
शाऊल	Saul
सौमुर	Saumur
सना	Sauna
एपाक्रीडेसी	Saururaceae
ससेज	Sausage
जंगली	Savage
जंगलीपन	Savagely
विद्वान	Savant
बचत	Save
मुक्ति	Saved
रक्षक	Saver
बचत	Saving
उद्धारकर्ता	Savior
मुक्तिदाता	Saviour
धर्मेन्द्र	Savitri
स्वाद	Savor
धीमे स्वाद चखा जान्छ	Savored
दिलकश	Savory
स्वाद	Savour
प्रेमी	Savvy
देखेका	Saw
काठको धूलो	Sawdust
सफीस	Sawfish
काटन कार्य	Sawing
काठ चिर्ने कारखानाको	Sawmill
सक्सेना	Sax
सेक्सन	Saxon
सैक्सोफोन	Saxophone
भन्न	Say
राख्नुहोस	Saya
यसो	Saying
पपडी	Scab
खुजली	Scabies
पाड	Scaffold
मचान	Scaffolding
स्केलेबल	Scalable
चढाई	Scalare
डाग	Scald
मात्रा	Scale
स्केल	Scaled
पपडी आदि का	Scaleless
तराजू	Scales
स्केलिंग	Scaling
घाउ	Scall
स्कालोप	Scallop
टाउको	Scalp
स्केलपेल	Scalpel
घोटाला	Scam
इस्कैमनी	Scammony
स्क्यान	Scan
कांड	Scandal
अपमानजनक	Scandalous
स्कैंडेनेविया	Scandinavia
स्केंडिनेवियाई	Scandinavian
स्क्यान्डियम	Scandium
स्कैनर	Scanner
स्कैनिंग	Scanning
अल्प	Scant
थोडे	Scantily
नित्यक्रम	Scantling
काँध का	Scapular
निशान	Scar
दुर्लभ	Scarce
शायद	Scarcely
कमी	Scarcity
जात	Scare
बिजूका	Scarecrow
दुपट्टा	Scarf
धागो	Scarlet
भताभुङ्ग	Scarred
उत्सवको	Scary
गोबर	Scat
घोर	Scathing
स्कैटर	Scatter
छरिएका	Scattered
बिखराव	Scatteredness
बिखरने	Scattering
पगला	Scatty
मांजना	Scavenge
मेहतर	Scavenger
सफाई	Scavenging
परिदृश्य	Scenario
पटकथाकार	Scenarist
दृश्य	Scene
दृश्यहरु	Scenery
नैसर्गिक	Scenic
गन्ध	Scent
सुगंधित	Scented
डण्डाले	Scepter
हातमा राजदण्ड राखिदिए	Sceptered
शंकालु	Sceptic
सूची	Schedule
स्किमालाई	Schema
योजनाबद्ध	Schematic
योजना	Scheme
धूर्त	Schemer
षडयन्त्रकारी	Scheming
पागलपन	Schizophrenia
पागलपन	Schizophrenic
कटलेट	Schnitzel
स्कूल	Schola
विद्वान्	Scholar
विद्वानहरु	Scholarly
वृत्ति	Scholarship
पढाइ	Scholastic
विद्वता	Scholastically
स्कूल	School
स्कूल	Schoolbag
पढाई	Schoolbook
स्कूली	Schoolboy
स्कूली	Schooled
छात्रा	Schoolgirl
शिक्षा	Schooling
शिक्षक	Schoolmaster
स्कूलको	Schoolmate
पाठशाला	Schoolroom
स्कूलको	Schoolteacher
स्कूलको	Schoolwork
साफ	Schoon
मस्तूलहरुको	Schooner
स्विस	Schweizer
झील	Sciatica
विज्ञान	Science
वैज्ञानिक	Scientific
वैज्ञानिक	Scientifically
वैज्ञानिक	Scientist
बाङ्गो तलवार	Scimitar
जुटाकर	Scintillating
जगमगाहट	Scintillation
मिथ्या अहंकार संबंधी	Sciolistic
वंशज	Scion
कडी गाँठदार या गिल्टीदार	Scirrhous
कैंची	Scissor
कैंची	Scissors
स्क्लीरोफिल्लस	Sclerophyllous
काठिन्य	Sclerosis
खिसी गर्छन्	Scoff
अहङ्कारीले	Scoffer
गाली	Scold
दुर्वचन	Scolding
स्कूप	Scoop
पकडे जाते	Scooped
स्कूटर	Scooter
स्कोप	Scope
खाइदियो	Scorched
ओइलाएर	Scorching
स्कोर	Score
स्कोरबोर्ड	Scoreboard
रन	Scored
गणक	Scorer
स्क्रोरिङ	Scoring
हेला	Scorn
घृणापूर्वक	Scornfully
वृश्चिक	Scorpio
बिच्छी	Scorpion
खेल्ने	Scot
स्कच	Scotch
स्कोटिया	Scotia
स्कट्स	Scots
स्कट	Scott
स्कटिश	Scottish
बदमाश	Scoundrel
स्वच्छ	Scour
कोर्रा	Scourge
कोर्रा	Scourging
स्काउट	Scout
त्योरी संग	Scowlingly
कर्कश	Scragged
जाउ	Scram
हाथापाई	Scramble
स्क्रेम्बल	Scrambling
स्क्रैप	Scrap
स्क्रैपबुक	Scrapbook
खुरचनी	Scraper
खारेज	Scrapped
खारेज	Scrapping
टुकडेदार	Scrappy
कोर्नु	Scratch
चोट	Scratches
लापरवाही	Scratchy
तस्वीरें	Scrawny
चिच्याएर	Scream
चिल्ला	Screaming
चीखते हुए	Screamingly
रोते	Screeching
खंड	Screed
पर्दा	Screen
पर्दा	Screened
स्क्रीनिंग	Screening
पटकथा	Screenplay
स्क्रीनवाईज	Screenwise
पटकथा	Screenwriter
पेच	Screw
शराबी	Screwdriver
खराब	Screwed
पंगा	Screwing
संदिग्ध	Screwy
स्क्रिबल	Scribble
शास्त्री	Scribe
स्क्रिप्ट	Script
लिखित	Scriptural
बाइबल को	Scripturalist
ढङ्गमा	Scripturally
धर्मशास्त्र	Scripture
कलमघसीट	Scrivener
पुस्तक	Scroll
वृषणकोश	Scrotum
साफ	Scrub
झाडी	Scrubbed
रंडी	Scrubber
सुंदर	Scrumptious
चटकना	Scrunch
धर्मभीरु	Scrupulous
अत्यन्तै	Scrupulously
केलाउँदै	Scrutinize
अनुगमनको	Scrutiny
खरोंच	Scuff
झगडा	Scuffle
खोदना	Sculp
खोदना	Sculpt
मूर्तिकार	Sculptor
मूर्तिकला	Sculptural
मूर्ति	Sculpture
मूर्ति	Sculptured
मैल	Scum
डर देखि पछि हटना	Scunner
नाला	Scupper
बौछाड	Scurry
रूसीदार	Scurvy
सन	Scutch
स्कुटेलम	Scutellum
जहाज को खिडकी	Scuttle
सिथियन	Scythian
समुद्र	Sea
समुद्री तटमा सञ्चालित रहेको	Seaboard
समुद्री	Seafaring
छाप	Seal
सीलेंट	Sealant
छाप	Sealed
मुहर	Sealer
छाप	Sealing
सीम	Seam
नाविकविद्या	Seamanship
तेज गेंदबाज	Seamer
निर्बाध	Seamless
मूल	Seamlessly
सीमस	Seamus
शन	Sean
जलविमान	Seaplane
बन्दरगाह	Seaport
खोज	Search
खोज्न	Searchable
खोज्ने	Searcher
खोज	Searching
पोलेको हुन्छ	Seared
समुद्री	Seashore
जहाजमा हुने विरामी	Seasick
समुद्र तटीय	Seaside
मौसम	Season
तोकिएको	Seasonable
मौसमी	Seasonal
यो सरकार	Seasonality
मौसमी	Seasonally
अनुभवी	Seasoned
मसला	Seasoning
सीट	Seat
विराजमान	Seated
सीटहरुको	Seater
बस्ने	Seating
समुद्री मार्ग	Seaway
शैवाल	Seaweed
चलने योग्य	Seaworthy
वसामय	Sebaceous
सेकेन्ड	Sec
छेदिका	Secant
अलगाव	Secession
सुनसान	Secluded
पार्थक्य	Seclusion
दोस्रो	Second
दोश्रो	Secondarily
माध्यमिक	Secondary
सेकेण्ड	Secondhand
दोश्रो	Secondly
सचिव	Secre
गोपनीयता	Secrecy
गोप्य	Secret
सचिवालय	Secretarial
सचिवालय	Secretariat
सचिव	Secretary
स्राव	Secrete
स्राव	Secretion
गुपचुप	Secretive
गोप्य	Secretly
स्रावी	Secretory
गुटको	Sect
बर्षको शुभकामना	Sectarian
गुटबन्दीलाई	Sectarianism
काटने योग्य	Sectile
खण्ड	Section
अनुभागीय	Sectional
क्षेत्र	Sector
क्षेत्रगत	Sectoral
सांसारिक	Secular
धर्मनिरपेक्षता	Secularism
निरपेक्षतावादी	Secularist
तिरस्कार	Secularization
गरिए	Secularize
जागिर	Secularly
सिकंदराबाद	Secund
सुरक्षा योग्य	Securable
सुरक्षित	Secure
सुरक्षित	Securely
सुरक्षा	Security
सेडान	Sedan
मध्यम	Sedang
शान्त	Sedate
बेहोश	Sedation
शामक	Sedative
आसीन	Sedentary
सेज	Sedge
तलछट	Sediment
थेग्राइ	Sedimentation
देशद्रोह	Sedition
गैरकानुनी	Seditious
लोभ्याउन	Seduce
मोहक	Seducer
लालच	Seduction
मोहक	Seductive
प्यासन	Seductively
नादिरा	Seductress
परिश्रमी	Sedulous
हेर्नुहोस्	See
बीउ	Seed
ब्याड	Seedbed
भोजपुरका	Seeded
सीडर	Seeder
अंकुर	Seedling
अस्वस्थ	Seedy
देखेर	Seeing
खोज्न	Seek
साधक	Seeker
खोज्ने	Seeking
जस्तो	Seem
जस्तो देखिने	Seeming
जस्तो देखिने	Seemingly
मनासिब	Seemly
देखेको	Seen
रिसना	Seep
दर्शी	Seer
छडी खा	Seesaw
छियाछिया	Seethe
खदबदा	Seething
खंड	Segment
कमानी	Segmental
खण्डीय रूप	Segmentally
विभाजन	Segmentation
गजुरेलको	Segmented
आस्ति	Segregate
भेदभाव	Segregation
सिद	Seid
गैरआवासीय	Seiner
भूकंपीय	Seismic
सिस्मोग्राफ	Seismograph
जफत	Seize
फाइदा उठाए	Seizing
जफती	Seizure
गरून्	Selah
विरलै	Seldom
चयन	Select
चयन	Selectable
चयन	Selected
चयन	Selection
छनौट	Selective
छनोट	Selectively
चयनात्मकता	Selectivity
चयनकर्ता	Selector
सेलिन	Selene
चन्द्रकांत	Selenite
सेलेनियम	Selenium
सेल्युकाली	Seleucid
आत्म	Self
स्वार्थी	Selfish
स्वार्थी	Selfishly
स्वार्थ	Selfishness
निःस्वार्थ	Selfless
निःस्वार्थ भई	Selflessly
सेल्जुक	Seljuk
बेचन	Sell
विक्रेता	Seller
बेच	Selling
सेल्टर	Selter
सेल्वा	Selva
संजाफ	Selvage
संजाफ	Selvedge
अर्थ	Semantic
संदर्भ	Semantical
शब्दार्थ	Semantically
अर्थ विज्ञान	Semantics
झलक	Semblance
वीर्य	Semen
स्थान	Semester
अर्ध	Semi
अर्द्धवार्षिक	Semiannual
गोला	Semicircle
अर्धविराम	Semicolon
मणिहरू	Semicolonial
अर्धचालक	Semiconductor
सेमिफाइनलमा	Semifinal
बीजीय	Seminal
गोष्ठी	Seminar
पाठशालामा	Seminary
लाक्षणिक	Semiotic
कीमती	Semiprecious
सेमीफाइनल	Semis
अर्ध	Semitrailer
अर्धपारदर्शी	Semitransparent
सुजी	Semolina
सेन	Sen
नेपालजस्तो	Senate
सीनेटर	Senator
समितीय	Senatorial
पठाउन	Send
प्रेषक	Sender
पठाउन	Sending
सेनेगल	Senegal
सेनेगलका	Senegalese
पकाना	Senescence
वृद्ध हुनेवाला	Senescent
कमजोर	Senile
वरिष्ठ	Senior
वरिष्ठता	Seniority
सनसनी	Sensation
सनसनीपूर्ण	Sensational
सनसनी	Sensationalism
कलाम	Sensationally
जलपरिवहनका	Sensationist
अर्थ	Sense
मर्म	Sensed
विवेकहीन	Senseless
बेहोरा पनि मूर्खको	Senselessness
संवेदनाले	Sensibility
समझदार	Sensible
बुद्धि	Sensibleness
समझदारी	Sensibly
संवेदनशील	Sensitive
संवेदनशीलता	Sensitively
संवेदनशीलता	Sensitivity
संवेदनशीलतालाई	Sensitization
सेंसर	Sensor
ज्ञानेन्द्रिय	Sensorimotor
संवेदी	Sensory
कामुक	Sensual
कामुकता	Sensuality
कामुक	Sensuous
पठाउनुभयो	Sent
सजाय	Sentence
चेतनशील	Sentient
विचार	Sentiment
भावुक	Sentimental
भावनामा	Sentimentality
चौकीदार	Sentry
अलग	Separate
अलग	Separately
छुट्याउनु	Separateness
अलग छ	Separates
अलग	Separating
अलग	Separation
उतारचढावलाई	Separatism
अलगाववादिएको	Separatist
विभाजक	Separator
पूति	Sepsis
सेप्टेम्बर	Sept
पटलीय	Septal
सेप्टेम्बर	September
सेप्टिक	Septic
सैप्टिसीमिया	Septicemia
सेप्टाइम	Septime
सेप्टुआजिन्ट	Septuagint
चिहान	Sepulcher
कडी	Sequel
अनुक्रम	Sequence
सिलसिलेवार	Sequent
अनुक्रमिक	Sequential
जब्ती	Sequestration
सेक्वोइया	Sequoia
सेवाहरु	Ser
साराफिनलाई	Seraphine
सर्बियन्	Serb
सरबियन	Serbian
सेरेना	Serena
शान्त	Serene
स्थिरता	Serenity
कम्मी	Serf
सार्जेंट	Sergeant
सर्गी	Sergei
सर्गियस	Sergius
सेरी	Seri
धारावाहिक	Serial
सीरियलाइजेष्ण	Serialization
रेशम उत्पादन	Sericulture
श्रृंखला	Series
सेरिफ	Serif
सेरीन	Serine
गम्भीर	Serious
गम्भीरतासाथ	Seriously
गम्भीरता	Seriousness
प्रवचन	Sermon
सीरम	Serological
सर्प	Serpent
सर्पको	Serpentine
दाँतेदार	Serrated
सीरम	Serum
सर्वल	Serval
सेवक	Servant
सेवा	Serve
सर्भर	Server
सेवा	Service
गुलाम	Servile
सेवा	Serving
बन्धन	Servitude
इमहजुरआमा	Servo
तिल	Sesame
उपज	Sesamum
सेक्स	Sess
सत्र	Session
सत्र	Sessions
सेट	Set
को बाल	Seta
नोक्सानी	Setback
सेठ	Seth
सेटर	Setter
सेटिंग	Setting
सुल्झाउन	Settle
बसे	Settled
उपनिवेश	Settlement
मुंहतोड प्रहार	Settler
सुल्झाउन	Settling
सेटअप	Setup
सेवास्टपल	Sevastopol
सात	Seven
सत्र	Seventeen
सत्रौं	Seventeenth
सातौं	Seventh
सत्तरी	Seventy
धेरै	Several
विस्तारपूर्वक	Severally
प्रचण्ड	Severe
कडा	Severely
कडा	Severer
कठोर	Severity
लुगा सिलाउने	Sew
मलजल	Sewage
ढल	Sewer
मल	Sewerage
सिलाई	Sewing
सिलना	Sewn
सेक्स	Sex
सेक्साजेसिमल	Sexagesimal
न पोथी न नर	Sexless
कब्र	Sexton
यौन	Sexual
यौन	Sexuality
यौन	Sexually
सेमोर	Seymour
श	Sh
क्षुद्रता	Shabbiness
मगन्ते	Shabby
शृंखला	Shackle
छाया	Shade
ढंके	Shaded
बेईमानी से	Shadily
छायाप्रभाव	Shading
छाया	Shadow
पीछा	Shadowing
छायादार	Shadowy
शद्रक	Shadrach
छायादार	Shady
चुच्चो	Shaft
शाह	Shah
शाही	Shahi
शाहिद	Shahid
शेख	Shaikh
राक्षस	Shaitan
हल्लियो	Shaken
शेखर	Shaker
शेकर्स	Shakers
शेक्सपियर	Shakespearean
मिलाउँदै	Shaking
शक्ति	Shakti
आवे पान शान आवे	Shaku
अस्थिर	Shaky
शीस्ट	Shale
पर्छ	Shall
स्यालो	Shallow
पर्छ	Shalt
नक्कली	Sham
जादूगर	Shaman
लाज	Shame
शर्मिंदा	Shamed
लज्जास्पद	Shameful
बाबुसँग	Shamefully
लाज	Shamefulness
निर्लज्ज	Shameless
लाजै नमानी	Shamelessly
निर्लज्ज	Shamelessness
साँभर	Shammy
शैम्पू	Shampoo
तिपतिया	Shamrock
शान	Shan
शंद्य	Shandy
शेन	Shane
मेलवर्न	Shanghai
खुट्टा	Shank
शंकर	Shankar
शंकर	Shanker
प्रकार को कपडा	Shantung
आकृति	Shape
आकार	Shaped
बेडौल	Shapeless
मनमोहक	Shapely
आकार दिन	Shaping
शारदा	Sharada
रामशरण	Sharan
शेयर	Share
हिस्सेदार	Shareholder
सहभागी	Sharer
शरीयत	Sharia
सार्क	Shark
तेज	Sharp
तिखार्ने	Sharpen
शापनर	Sharpener
धारिलो	Sharper
तिब्ररूपमा	Sharply
तीव्रता	Sharpness
एक्स्	Shat
चकनाचूर	Shatter
चकनाचूर	Shattering
शाऊल	Shaul
दाढी	Shave
कपाल काटिदिए	Shaved
सफाचट बस्ने	Shaven
धूर्त	Shaver
शाभियन	Shavian
दाह्री काट्ने	Shaving
छीलन	Shavings
श	Shaw
खास्टोको	Shawl
शन	Shawn
साववाल	Shawwal
त्यो	She
शिया	Shea
पूला	Sheaf
कतरनी	Shear
घसियारा	Shearer
बाल काटन	Shearing
हँसिया	Shears
म्यान	Sheath
ढांकना	Sheathe
शकेमका	Shechem
टहरो	Shed
बगाउने	Shedding
चमक	Sheen
भेडा	Sheep
गोठको	Sheepfold
भेडाखाले	Sheeplike
चर्मपत्र	Sheepskin
सरासर	Sheer
पाना	Sheet
च्यादर लगाएको	Sheeted
कनवास	Sheeting
बन्द	Sheffield
शीला	Sheila
शेकेल	Shekel
शेल्फ	Shelf
खोल	Shell
शंख	Shellfish
गोलीबारी	Shelling
आश्रय	Shelter
आश्रय	Sheltered
चर्को बदला लिए	Shelve
शेन	Shen
शिओल	Sheol
गोठालो	Shepherd
भेडा गोठालाहरूसित	Shepherdess
शेरबहादुर	Sher
शेरेटन	Sheraton
शरबत	Sherbet
शेरिफ	Sheriff
शर्लाक	Sherlock
शेर्पा	Sherpa
शेरी	Sherry
शेट्ल्याण्ड	Shetland
ढाल	Shield
परिरक्षण	Shielding
शिफ्ट	Shift
मजदूर	Shifter
चालबाजी	Shiftily
बदलिरहेको	Shifting
फिचर	Shiite
डांडा	Shillelagh
शिलिंग	Shilling
शीलोमा	Shiloh
शिम	Shim
शिमी	Shimei
झिलमिलाता	Shimmering
तिघ्रा	Shin
चहकिलो	Shine
तारा	Shiner
तख्ती	Shingle
दाद	Shingles
शिन्टो	Shinto
चमकदार	Shiny
जहाज	Ship
जहाज निर्माण	Shipbuilder
जहाज निर्माण	Shipbuilding
शिपमेंट	Shipment
भेज	Shipped
शिपिंग	Shipping
जहाज	Shipwreck
शिपयार्ड	Shipyard
शायर	Shire
मुस्लिम	Shirk
शर्ली	Shirley
शर्ट	Shirt
कमीज बनाउन	Shirting
बबुलको	Shittim
शिव	Shiv
मनमा चिसो	Shiver
काम्नु	Shivering
आघात	Shock
स्तब्धकारी	Shocking
घटिया	Shoddy
जूता	Shoe
जुताको फिता	Shoelace
जीविका	Shoestring
शोला	Shola
सोणा	Shona
चम्केको	Shone
हल्लाउँदै	Shook
गोली	Shoot
शूटिंग	Shooting
दोकान	Shop
पसलेले	Shopkeeper
पसलबाट सामान चोर्ने समस्या	Shoplifting
उपभोक्ता	Shopper
सपिङ्ग	Shopping
किनारमा	Shore
शोरिंग	Shoring
छोटो	Short
अभाव	Shortage
जेहोस्	Shortcoming
छोट्याउन	Shorten
छोटा	Shortening
छोटो	Shorter
कमी	Shortfall
आशुलिपि	Shorthand
सानो टाउको	Shorthead
शीघ्र	Shortly
कमी	Shortness
अदूरदर्शी	Shortsighted
अदूरदर्शिता	Shortsightedness
शट	Shot
बन्दूक	Shotgun
साइट	Shou
चाहिए	Should
काँध	Shoulder
काँध	Shouldered
वहन गर्ने	Shouldering
हुँदैन	Shouldnt
चिच्याउँदै	Shout
चिल्ला	Shouting
धकेल्नु	Shove
फावडा	Shovel
शो	Show
प्रदर्शन	Showcase
मुठभेड	Showdown
शवर	Shower
देखाउदै	Showing
सृजनगाथा	Showman
देखाइएको	Shown
शीश	Showpiece
शोरूम	Showroom
शक्तिको	Showy
सिकुड	Shrank
अलिकति	Shred
श्रेडर	Shredder
श्री	Shree
चतुर	Shrewd
चतुराई	Shrewdly
समझदार	Shrewdness
किलकारी	Shriek
चिंराट	Shrimp
तीर्थ	Shrine
हट्नुको	Shrink
संकोचन	Shrinkage
सिकुड	Shrinking
ओइलाउँछन्	Shrivel
कफन	Shroud
ढाकेको	Shrouded
झाडी	Shrub
झाडोदार	Shrubby
झरेको	Shrunk
सिकुडा	Shrunken
अरे	Shucks
कंपकंपी	Shudder
फुत्त	Shuffle
अव्यवस्थित	Shuffling
दूर	Shun
शुनैमेली आइमाईलाई	Shunammite
अलग धकेलना	Shunt
चुप रहो	Shush
बन्द	Shut
बंद	Shutdown
शटर	Shutter
बंद	Shutting
शटल	Shuttle
शटलकक	Shuttlecock
लजालु	Shy
श्याम	Shyam
लजालु पाराले	Shyly
लजाउने	Shyness
सी	Si
सियाम	Siam
सुलिना	Siamang
स्याम देश	Siamese
साइबेरियाई	Siberian
दाइ	Sibling
सिबिल	Sibyl
यस प्रकार	Sic
सिसिली	Sicilian
बिरामी	Sick
ओछ्यानमा र त्यससँग	Sickbed
घृणा को अनुभव	Sicken
पीडा दिन्छ	Sickeningly
हँसिया	Sickle
बिरामी	Sickly
बिरामी	Sickness
सिड	Sid
पृष्ठ को	Sida
सिद्धार्थ	Siddhartha
सिद्धि	Siddhi
पक्ष	Side
कलम	Sideburns
प्रकार को मादक द्रव्य	Sidecar
पक्षीय	Sided
किनारा	Sideline
ऐंचाताना	Sidelong
मेज	Sider
पक्षहरु	Sides
फुटपाथ	Sidewalk
फुटपाथ	Sideways
साइडिंग	Siding
सिडनी	Sidney
घेरा	Siege
अधिकारी ले भन्यो कि	Sier
सियरा	Sierra
चाल्नु	Sift
उच्छ्वास	Sigh
सुस्केरा	Sighing
दृष्टि	Sight
अदूरदर्शी	Sighted
देख्यो	Sighting
सिग्मा	Sigma
सिगमंड	Sigmund
हस्ताक्षर	Sign
संकेत	Signal
हस्ताक्षर	Signatory
हस्ताक्षर	Signature
पट	Signboard
हस्ताक्षरकर्ता	Signer
मुहर	Signet
अर्थ	Significance
महत्वपूर्ण	Significant
एकदम	Significantly
वाचक	Signifier
चित्रित	Signify
काँड	Signpost
रोजर	Signum
सिख	Sikh
सिक्ख	Sikhism
सिक्किमी	Sikkimese
सिलासलाई	Silas
मौन	Silence
चुप	Silenced
रवशामक	Silencer
मौन	Silent
मनमनै	Silently
सिलेसिया	Silesia
सिलेसियन	Silesian
सिल्हूट	Silhouette
सिलिका	Silica
सिलिकेट	Silicate
सिलिको	Silico
सिलिकन	Silicon
सिलिकन	Silicone
रेशम	Silk
रेशमी	Silken
रेशमकीट	Silkworm
रेशमी	Silky
देहली	Sill
मूर्ख	Silly
गाद	Silt
चाँदी	Silver
रजत	Silvered
चाँदीको	Silversmith
चाँदीको काम	Silversmithing
चाँदीका	Silverware
चांदी	Silvery
सिल्भिया	Silvia
लसललवयस	Silvius
सिम	Sim
वानिकी ट्रैक्टर	Simaroubaceae
शिमोन	Simeon
सिमीयन	Simian
यस्तै	Similar
समानता	Similarity
यस्तै	Similarly
उखान	Simile
अनुरूपताकालागिकेन्द्रचयनगर्नुहोस्	Similitude
उबाल	Simmer
सिमोन	Simon
सिमोनी	Simony
भोला मान्छे	Simp
मुसकुराना	Simper
सरल	Simple
सरल	Simpler
सिम्प्लेक्स	Simplex
सादगी	Simplicity
सरलीकरण	Simplification
सरल	Simplified
सरल	Simplify
हलुको	Simplistic
बस	Simply
अनुकरण	Simulate
अनुकरण	Simulation
सिम्युलेटर	Simulator
एक साथ	Simultaneous
एक साथ	Simultaneously
पाप	Sin
साइनाइटिक	Sinaitic
पछि	Since
निष्कपट	Sincere
निष्कपट	Sincerely
निष्कपट	Sincerity
सिन्धी	Sindhi
साइन	Sine
पापी	Sinful
पापी	Sinfully
पापलाई	Sinfulness
गाउने	Sing
गायक	Singer
सिंह	Singh
गीत	Singing
एकल	Single
अविवाहित	Singleness
एकल	Singles
स्वेटर	Singlet
सिंगलटन	Singleton
एक्लै	Singly
छल्ले	Singsing
एकवचन	Singular
राशि को एकल	Singularly
सिन्हाली	Sinhalese
भयात्यो	Sinister
सिंक	Sink
भार	Sinker
डूब	Sinking
पापरहित	Sinless
पापरहित जीवनले	Sinlessness
पापी	Sinner
सिंटर	Sinter
साइनस	Sinus
सायन	Sion
सिऔक्स	Sioux
सिप	Sip
सर	Sir
सरदार	Sirdar
साहब	Sire
प्रकार को बिरुवा	Sisal
हामिलाई	Sisi
तिनको ठाउँ	Sissy
आखिरी	Sist
बहिनी	Sister
घोषणाको	Sisterhood
थाल्यो	Sisterly
सिस्टिन	Sistine
बस्न	Sit
सीता	Sita
सितार	Sitar
तिमी आज अड्ढिस जाने	Sitch
साइट	Site
सिट्का	Sitka
सम्भालने	Sitter
बसिरहेका	Sitting
स्थित	Situated
स्थिति	Situation
स्थिति	Situational
वेबसाइट	Situs
शिव	Siva
सिभान	Sivan
सिवान	Siwan
छ	Six
छक्का	Sixer
सोह्र	Sixteen
सोह्रौं	Sixteenth
छैटौं	Sixth
साठवें	Sixtieth
साठी	Sixty
बडा	Sizable
आकार	Size
खासी	Sizeable
आकारको	Sized
आकार	Sizes
कान्तिपुरमा छापिएको	Sizing
उत्साहवर्धक	Sizzling
अपशिष्ट उपचार र रीसाइक्लिंग	Skart
स्क्याटमास्वागतछकृपयानयाँखेलसुरुगर्नुहोस्	Skat
स्केटिङ	Skating
स्कीट	Skeet
बस्ने	Skeletal
कंकाल	Skeleton
मधुमक्खियों	Skep
शंकालु	Skeptic
शंकालु	Skeptical
आलोचकहरूको	Skepticism
स्केच	Sketch
खाका बनाउन कापी	Sketchbook
अधूरा	Sketchy
बाङ्गो	Skew
विषम	Skewed
स्की	Ski
स्किड	Skid
स्किडर	Skidder
खेलाडी	Skier
आकाश	Skies
नाव	Skiff
स्कीइंग	Skiing
सीप	Skill
कुशल	Skilled
निपुण	Skillful
कौशलतापूर्वक	Skillfully
स्किम	Skim
स्किम्ड	Skimmed
पौना	Skimmer
उडे	Skimming
लापरवाही	Skimp
लोभी	Skimpy
